time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.565774,0.691498,8186.23,0.0140596,0.0,0.0,0.0
0.003125,-0.550221,0.672508,8084.88,-0.00852711,101.35,0.0225867,0.146287
0.00625,-0.555897,0.680067,8112.4,-0.00214315,27.52,0.00638396,0.145228
0.009375,-0.567717,0.694823,8181.94,-0.0129163,69.54,0.0107732,0.150916
0.0125,-0.555019,0.682424,8100.61,-0.0229757,81.3301,0.0100594,0.144162
0.015625,-0.528516,0.650424,7909.47,-0.0163886,191.14,0.0065871,0.137639
0.01875,-0.518068,0.63823,7821.43,-0.0114718,88.04,0.0049168,0.154345
0.021875,-0.503335,0.619926,7653.89,0.032377,167.54,0.0438488,0.141469
0.025,-0.474492,0.585341,7425.25,0.0343736,228.64,0.0019966,0.143535
0.028125,-0.452722,0.560174,7265.61,0.0496716,159.64,0.015298,0.157938
0.03125,-0.446974,0.553956,7212.79,0.0518574,52.8198,0.0021858,0.166558
0.034375,-0.459332,0.56697,7289.39,0.0414093,76.6001,0.0104481,0.164967
0.0375,-0.428861,0.529521,6990.84,-0.00154521,298.55,0.0429545,0.178294
0.040625,-0.452555,0.557907,7198.63,0.0127666,207.79,0.0143118,0.173509
0.04375,-0.430234,0.531208,7101.18,0.0389026,97.4497,0.026136,0.15806
0.046875,-0.455843,0.561173,7314.82,0.0144199,213.64,0.0244827,0.160505
0.05,-0.489006,0.599424,7563.77,-0.00336509,248.95,0.017785,0.161794
0.053125,-0.538738,0.658691,7944.57,0.00102673,380.8,0.00439182,0.158213
0.05625,-0.577786,0.704086,8273.41,0.012063,328.84,0.0110363,0.151954
0.059375,-0.585606,0.71107,8358.84,-0.0131426,85.4297,0.0252056,0.162294
0.0625,-0.588547,0.713576,8371.81,-0.0423836,12.9697,0.029241,0.152781
0.065625,-0.596635,0.72287,8389.71,-0.0716791,17.9004,0.0292955,0.152422
0.06875,-0.602736,0.730823,8454.4,-0.0845224,64.6904,0.0128433,0.140899
0.071875,-0.569418,0.690689,8247.24,-0.101689,207.16,0.0171666,0.151877
0.075,-0.567349,0.688054,8261.6,-0.131114,14.3594,0.029425,0.150006
0.078125,-0.582802,0.707651,8338.74,-0.136058,77.1406,0.004944,0.138876
0.08125,-0.564381,0.68481,8195.92,-0.132719,142.82,0.00333901,0.119919
0.084375,-0.531728,0.645488,7952.08,-0.114602,243.84,0.018117,0.124925
0.0875,-0.491817,0.600286,7668.11,-0.110994,283.97,0.003608,0.142476
0.090625,-0.484392,0.593881,7554.58,-0.0280748,113.53,0.0829192,0.165012
0.09375,-0.483741,0.593604,7488.49,0.0382609,66.0898,0.0663357,0.15802
0.096875,-0.462186,0.568391,7303.14,0.0661287,185.35,0.0278678,0.157964
0.1,-0.436868,0.540563,7098.67,0.0720677,204.47,0.005939,0.157649
0.103125,-0.43506,0.540749,7069.67,0.0423266,29.0,0.0297411,0.151506
0.10625,-0.4408,0.547791,7075.13,0.0323323,5.45996,0.0099943,0.138037
0.109375,-0.43723,0.542428,6989.16,0.0438222,85.9697,0.0114899,0.148675
0.1125,-0.434167,0.540382,6964.68,0.0738848,24.48,0.0300626,0.126054
0.115625,-0.443714,0.552954,7095.57,0.0912864,130.89,0.0174016,0.131977
0.11875,-0.447473,0.556066,7151.04,0.0883359,55.4702,0.0029505,0.135954
0.121875,-0.458045,0.564334,7212.76,0.0967073,61.7197,0.0083714,0.136471
0.125,-0.476394,0.583239,7376.24,0.083503,163.48,0.0132043,0.120034
0.128125,-0.470904,0.57474,7390.83,0.0283504,14.5898,0.0551526,0.128982
0.13125,-0.433685,0.528651,7177.7,-0.0220656,213.13,0.050416,0.130482
0.134375,-0.429372,0.523864,7126.44,-0.0687119,51.2603,0.0466463,0.131112
0.1375,-0.439189,0.534795,7181.47,-0.0868834,55.0303,0.0181715,0.129669
0.140625,-0.46368,0.562334,7387.51,-0.0732613,206.04,0.0136221,0.139674
0.14375,-0.478776,0.581907,7545.96,-0.0847121,158.45,0.0114508,0.120344
0.146875,-0.494376,0.602561,7675.87,-0.0991823,129.91,0.0144702,0.129624
0.15,-0.519824,0.632371,7857.86,-0.121886,181.99,0.0227037,0.134668
0.153125,-0.509324,0.618615,7720.65,-0.125286,137.21,0.0034,0.132948
0.15625,-0.471804,0.57702,7396.2,-0.0700956,324.45,0.0551904,0.138648
0.159375,-0.443268,0.544015,7172.42,0.000315691,223.78,0.0704113,0.13654
0.1625,-0.460992,0.565269,7340.69,0.0296063,168.27,0.0292906,0.128239
0.165625,-0.470143,0.575463,7383.13,0.0135754,42.4399,0.0160309,0.150512
0.16875,-0.472512,0.576701,7375.23,-0.00592678,7.8999,0.0195022,0.131186
0.171875,-0.472688,0.578513,7394.48,0.0157543,19.25,0.0216811,0.129102
0.175,-0.465686,0.573048,7377.14,0.0441403,17.3398,0.028386,0.149503
