time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.854603,0.956961,10924.8,0.0131137,0.0,0.0,0.0
0.003125,-0.760644,0.860051,10221.1,-0.0366804,703.7,0.0497941,0.172896
0.00625,-0.705153,0.80553,9823.04,-0.00769405,398.06,0.0289863,0.169237
0.009375,-0.714801,0.817475,9894.81,-0.0751285,71.7695,0.0674345,0.165957
0.0125,-0.789027,0.896814,10356.0,-0.065599,461.19,0.0095295,0.151335
0.015625,-0.825986,0.936311,10595.1,-0.00666007,239.1,0.0589389,0.160095
0.01875,-0.83637,0.950517,10676.2,-0.0415173,81.1006,0.0348572,0.158124
0.021875,-0.859814,0.980704,10793.5,-0.0305137,117.3,0.0110036,0.156729
0.025,-0.878658,0.998567,10890.2,-0.0161753,96.7002,0.0143384,0.164813
0.028125,-0.851561,0.963691,10687.3,-0.0117974,202.9,0.0043779,0.170509
0.03125,-0.843042,0.954234,10580.7,-0.0203073,106.6,0.0085099,0.172662
0.034375,-0.79047,0.891238,10290.8,-0.0440533,289.9,0.023746,0.171592
0.0375,-0.745562,0.844938,9994.01,-0.0456402,296.79,0.0015869,0.148905
0.040625,-0.726653,0.824756,9861.44,-0.0330289,132.569,0.0126113,0.16116
0.04375,-0.684375,0.77969,9431.74,-0.0406187,429.7,0.0075898,0.151312
0.046875,-0.751606,0.862527,9825.63,0.0245118,393.89,0.0651305,0.163252
0.05,-0.693812,0.792117,9473.32,0.0464753,352.31,0.0219635,0.159439
0.053125,-0.712903,0.813251,9660.06,0.0291062,186.739,0.0173691,0.161879
0.05625,-0.728941,0.826014,9807.97,0.0874937,147.91,0.0583875,0.15665
0.059375,-0.732739,0.835638,9834.19,0.0971811,26.2207,0.00968739,0.168058
0.0625,-0.648177,0.742181,9198.11,0.0962638,636.08,0.000917293,0.160448
0.065625,-0.657927,0.755199,9274.04,0.0835622,75.9297,0.0127016,0.142388
0.06875,-0.684154,0.789009,9471.23,0.121094,197.19,0.0375318,0.164548
0.071875,-0.632643,0.731686,9070.66,0.119551,400.57,0.001543,0.169498
0.075,-0.695107,0.803846,9536.4,0.131823,465.74,0.012272,0.154174
0.078125,-0.624084,0.725006,9030.02,0.170303,506.381,0.03848,0.157821
0.08125,-0.649792,0.749751,9275.48,0.172576,245.461,0.00227299,0.159016
