time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.306998,0.380313,5923.64,0.106129,0.0,0.0,0.0
0.003125,-0.296129,0.366425,5820.43,0.118266,103.21,0.012137,0.195429
0.00625,-0.292025,0.361704,5773.76,0.116623,46.6704,0.001643,0.229035
0.009375,-0.294127,0.364415,5788.09,0.12262,14.3301,0.005997,0.206278
0.0125,-0.279568,0.346794,5632.18,0.107644,155.91,0.014976,0.21025
0.015625,-0.233045,0.286563,5136.64,0.071434,495.54,0.03621,0.203902
0.01875,-0.258942,0.320024,5411.26,0.0354768,274.62,0.0359572,0.205185
0.021875,-0.264161,0.327823,5459.48,0.0462507,48.2202,0.0107739,0.181509
0.025,-0.253164,0.313697,5357.84,0.045467,101.64,0.0007837,0.185117
0.028125,-0.252531,0.311547,5367.45,0.0486084,9.61035,0.0031414,0.196397
0.03125,-0.268257,0.331285,5516.35,0.0739954,148.9,0.025387,0.202316
0.034375,-0.273648,0.338013,5561.75,0.102461,45.3999,0.0284656,0.211333
0.0375,-0.283415,0.351161,5666.65,0.157988,104.9,0.055527,0.195536
0.040625,-0.279246,0.344541,5632.65,0.140963,34.0,0.017025,0.198966
0.04375,-0.297716,0.368894,5806.27,0.131052,173.62,0.009911,0.211635
0.046875,-0.310354,0.384003,5907.57,0.130064,101.3,0.000988007,0.211749
0.05,-0.319132,0.394672,6001.19,0.120349,93.6201,0.009715,0.204572
0.053125,-0.338625,0.42018,6189.49,0.0810725,188.3,0.0392765,0.205381
0.05625,-0.340392,0.421813,6222.46,0.0800858,32.9697,0.000986703,0.20546
0.059375,-0.338779,0.417683,6212.07,0.0839504,10.3901,0.0038646,0.198094
0.0625,-0.337171,0.413875,6214.41,0.102039,2.34033,0.0180886,0.223465
0.065625,-0.332048,0.407469,6178.04,0.145178,36.3701,0.043139,0.230171
0.06875,-0.307538,0.375675,5976.73,0.118047,201.31,0.027131,0.199722
0.071875,-0.301094,0.369058,5919.3,0.0653119,57.4302,0.0527351,0.204917
0.075,-0.293359,0.359768,5844.53,0.0455471,74.77,0.0197648,0.186055
0.078125,-0.281295,0.346251,5673.74,0.0220513,170.79,0.0234958,0.191876
0.08125,-0.279916,0.345865,5614.47,0.00210745,59.27,0.0199439,0.173716
0.084375,-0.2746,0.339089,5552.17,-0.0193453,62.3003,0.0214528,0.197182
0.0875,-0.27476,0.338297,5554.98,0.0203394,2.81006,0.0396847,0.1971
0.090625,-0.279577,0.345987,5586.09,0.047366,31.1099,0.0270266,0.210607
0.09375,-0.278926,0.34547,5584.57,0.0592133,1.52002,0.0118473,0.209613
0.096875,-0.269593,0.334215,5462.3,0.0834342,122.27,0.0242209,0.200859
0.1,-0.246429,0.303801,5271.31,0.0283797,190.99,0.0550545,0.195516
0.103125,-0.258513,0.319046,5442.71,-0.0106925,171.4,0.0390722,0.216017
0.10625,-0.27804,0.342378,5680.53,-0.00683794,237.82,0.00385456,0.211045
0.109375,-0.298417,0.366912,5933.44,0.0265634,252.91,0.0334013,0.21692
0.1125,-0.297022,0.363755,5929.24,0.0331825,4.19971,0.0066191,0.196348
0.115625,-0.286974,0.351948,5821.54,0.0426306,107.7,0.0094481,0.189279
0.11875,-0.285639,0.351325,5808.01,0.0184639,13.5303,0.0241667,0.19087
0.121875,-0.284547,0.350572,5796.81,0.0274633,11.1997,0.0089994,0.17247
0.125,-0.281068,0.345048,5801.24,0.0820088,4.43018,0.0545455,0.183905
0.128125,-0.291824,0.359154,5889.16,0.120721,87.9199,0.0387122,0.190994
0.13125,-0.308925,0.381371,6024.96,0.135023,135.8,0.014302,0.189474
0.134375,-0.305489,0.377202,5960.44,0.115441,64.52,0.019582,0.183804
0.1375,-0.31789,0.392854,6037.74,0.165225,77.3003,0.049784,0.161128
0.140625,-0.334218,0.412777,6163.0,0.203501,125.26,0.038276,0.179159
0.14375,-0.329967,0.407404,6108.75,0.197346,54.25,0.006155,0.178094
0.146875,-0.329527,0.407473,6145.61,0.180024,36.8599,0.017322,0.17592
0.15,-0.318472,0.394068,6059.82,0.182798,85.79,0.002774,0.160684
0.153125,-0.278001,0.342957,5674.01,0.14974,385.81,0.033058,0.179127
0.15625,-0.281218,0.346308,5717.85,0.136299,43.8403,0.013441,0.17402
0.159375,-0.275357,0.338411,5642.01,0.13147,75.8403,0.004829,0.168596
0.1625,-0.262777,0.321803,5524.79,0.108459,117.22,0.023011,0.190829
0.165625,-0.247295,0.303332,5387.61,0.0838615,137.18,0.0245975,0.176756
0.16875,-0.251759,0.309692,5426.5,0.0378698,38.8901,0.0459917,0.198984
0.171875,-0.255561,0.314776,5434.71,0.0321163,8.20996,0.0057535,0.183052
0.175,-0.246453,0.302098,5317.48,0.0404358,117.23,0.0083195,0.189263
0.178125,-0.247245,0.303893,5298.21,0.0580233,19.27,0.0175875,0.173263
0.18125,-0.233267,0.287619,5140.22,0.0486564,157.99,0.0093669,0.194489
0.184375,-0.226362,0.280803,5058.23,0.0976885,81.9902,0.0490321,0.184618
0.1875,-0.216616,0.26937,4966.48,0.139905,91.75,0.0422165,0.195736
0.190625,-0.219032,0.272519,5071.33,0.15599,104.85,0.016085,0.198797
0.19375,-0.220534,0.273711,5102.13,0.15294,30.7998,0.00305,0.201006
0.196875,-0.247971,0.308122,5407.54,0.1718,305.41,0.01886,0.184125
0.2,-0.270267,0.333613,5706.09,0.177918,298.55,0.006118,0.178829
0.203125,-0.309378,0.382529,6106.85,0.191669,400.76,0.013751,0.198074
0.20625,-0.330565,0.407088,6307.68,0.205249,200.83,0.01358,0.176133
0.209375,-0.336101,0.411333,6385.21,0.193355,77.5298,0.011894,0.190409
0.2125,-0.337734,0.410759,6403.88,0.201596,18.6699,0.00824101,0.187142
0.215625,-0.343726,0.417702,6472.21,0.180517,68.3301,0.021079,0.17295
0.21875,-0.33859,0.41182,6394.52,0.153706,77.6899,0.026811,0.187815
0.221875,-0.316431,0.383284,6199.97,0.135187,194.55,0.018519,0.16158
0.225,-0.30695,0.369962,6108.44,0.107832,91.5303,0.027355,0.16481
0.228125,-0.333063,0.401264,6352.76,0.0821179,244.32,0.0257141,0.159004
0.23125,-0.342459,0.409757,6500.59,0.0598275,147.83,0.0222904,0.172396
0.234375,-0.34906,0.41493,6639.33,0.0127177,138.74,0.0471098,0.145277
0.2375,-0.353921,0.419042,6728.98,-0.0347508,89.6499,0.0474685,0.141819
0.240625,-0.346626,0.407693,6723.66,-0.0584291,5.31982,0.0236783,0.144199
0.24375,-0.336657,0.393104,6666.24,-0.0966948,57.4199,0.0382657,0.14692
0.246875,-0.346659,0.404771,6764.82,-0.11813,98.5796,0.0214352,0.140666
0.25,-0.345547,0.400188,6864.84,-0.123732,100.02,0.005602,0.151215
0.253125,-0.352669,0.412455,6924.09,-0.0774334,59.25,0.0462986,0.166233
0.25625,-0.32391,0.379733,6705.14,-0.0139526,218.95,0.0634808,0.185341
0.259375,-0.323616,0.383696,6599.91,-0.00131697,105.23,0.0126356,0.177045
0.2625,-0.317758,0.375533,6545.96,-0.0572043,53.9502,0.0558873,0.18814
0.265625,-0.299232,0.354235,6313.25,-0.0636494,232.71,0.0064451,0.169502
0.26875,-0.296445,0.35005,6288.61,-0.101347,24.6401,0.0376976,0.177722
0.271875,-0.29721,0.351878,6272.6,-0.0990455,16.0098,0.0023015,0.187343
0.275,-0.286238,0.33933,6122.94,-0.100546,149.66,0.0015005,0.184434
0.278125,-0.263523,0.315643,5746.78,-0.085314,376.16,0.015232,0.190904
0.28125,-0.266962,0.322896,5686.63,-0.0870902,60.1499,0.0017762,0.167536
0.284375,-0.260083,0.312592,5641.08,-0.107206,45.5498,0.0201158,0.161306
0.2875,-0.265163,0.319297,5666.55,-0.0835082,25.4697,0.0236978,0.16747
0.290625,-0.253873,0.308847,5469.21,-0.0736491,197.34,0.0098591,0.17304
0.29375,-0.252097,0.306441,5406.02,-0.0823442,63.1899,0.0086951,0.158164
0.296875,-0.276924,0.339153,5620.25,-0.0303232,214.23,0.052021,0.155479
0.3,-0.277679,0.340267,5631.73,0.0312896,11.48,0.0616128,0.149482
0.303125,-0.309803,0.38148,5971.69,0.0633828,339.96,0.0320932,0.150553
0.30625,-0.313199,0.382468,6037.1,0.0930332,65.4102,0.0296504,0.146875
0.309375,-0.301771,0.366157,5987.63,0.124832,49.4702,0.0317988,0.170832
0.3125,-0.312489,0.379476,6076.0,0.136434,88.3701,0.011602,0.129868
0.315625,-0.309678,0.374539,6099.25,0.160384,23.25,0.02395,0.13371
0.31875,-0.285365,0.33858,6001.09,0.176412,98.1602,0.016028,0.131127
0.321875,-0.291477,0.345757,6115.15,0.166834,114.06,0.009578,0.153974
0.325,-0.274224,0.31869,6103.28,0.1854,11.8701,0.018566,0.132554
0.328125,-0.234947,0.269333,5800.08,0.114294,303.2,0.071106,0.138393
0.33125,-0.227436,0.265675,5713.4,0.18117,86.6802,0.066876,0.13888
0.334375,-0.21454,0.247362,5695.01,0.148891,18.3901,0.032279,0.156121
0.3375,-0.217541,0.249545,5731.32,0.104267,36.3101,0.044624,0.142028
0.340625,-0.239361,0.27207,6082.26,0.0825976,350.94,0.0216694,0.158766
0.34375,-0.246527,0.280553,6228.15,0.0367113,145.89,0.0458863,0.152758
0.346875,-0.266056,0.310393,6342.32,0.0213028,114.17,0.0154085,0.147005
0.35,-0.254256,0.292291,6362.29,-0.0194318,19.9702,0.0407346,0.147575
0.353125,-0.286487,0.336584,6575.41,-0.0684311,213.12,0.0489993,0.168041
0.35625,-0.278764,0.325883,6503.32,-0.120055,72.0903,0.0516239,0.163626
0.359375,-0.285764,0.336655,6514.21,-0.125614,10.8901,0.005559,0.157614
0.3625,-0.280885,0.333654,6398.04,-0.141235,116.17,0.015621,0.158297
0.365625,-0.282568,0.338769,6365.68,-0.117823,32.3599,0.023412,0.142535
0.36875,-0.292996,0.352829,6449.49,-0.0899176,83.8101,0.0279054,0.12631
0.371875,-0.323618,0.390679,6719.31,-0.0620744,269.82,0.0278432,0.143445
0.375,-0.347329,0.422057,6829.43,-0.104053,110.12,0.0419786,0.126554
0.378125,-0.34037,0.414639,6726.57,-0.117107,102.86,0.013054,0.111337
0.38125,-0.315942,0.385727,6468.96,-0.136584,257.61,0.019477,0.115278
0.384375,-0.303946,0.371587,6325.44,-0.136876,143.52,0.000292003,0.107453
0.3875,-0.290358,0.358296,6059.21,-0.0963578,266.23,0.0405182,0.140324
0.390625,-0.275821,0.337754,5955.1,-0.0394771,104.11,0.0568807,0.133138
0.39375,-0.280632,0.34133,6059.22,-0.0238089,104.12,0.0156682,0.13364
0.396875,-0.286112,0.346052,6152.62,-0.0277633,93.3999,0.0039544,0.125059
0.4,-0.293095,0.3526,6223.65,0.0234014,71.0298,0.0511647,0.137245
0.403125,-0.296641,0.356536,6242.27,0.0313121,18.6201,0.0079107,0.121101
0.40625,-0.327519,0.390614,6667.5,0.116582,425.23,0.0852699,0.134215
0.409375,-0.338875,0.401436,6856.16,0.121463,188.66,0.004881,0.125662
0.4125,-0.326009,0.382059,6810.52,0.125397,45.6401,0.003934,0.114682
0.415625,-0.350155,0.409629,7078.37,0.142493,267.85,0.017096,0.129771
0.41875,-0.346747,0.397489,7242.87,0.106544,164.5,0.035949,0.128674
0.421875,-0.33461,0.37814,7224.46,0.0819114,18.4102,0.0246326,0.125067
0.425,-0.33499,0.373916,7288.93,0.0363434,64.4702,0.045568,0.127634
0.428126,-0.352778,0.394654,7393.44,0.0420755,104.51,0.0057321,0.127742
0.431251,-0.314138,0.337909,7230.03,0.0303543,163.41,0.0117212,0.133494
0.434376,-0.332484,0.37079,7143.29,0.00629601,86.7397,0.0240583,0.123947
