time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.34956,0.400713,7120.75,-0.675607,0.0,0.0,0.0
0.003125,-0.34403,0.394881,7084.28,-0.620249,36.4702,0.0553581,0.185249
0.00625,-0.325056,0.378012,6864.75,-0.658834,219.53,0.038585,0.18452
0.009375,-0.339887,0.3969,6962.26,-0.626128,97.5098,0.032706,0.15258
0.0125,-0.34137,0.399694,6946.1,-0.598192,16.1597,0.027936,0.159582
0.015625,-0.370111,0.433109,7141.16,-0.540932,195.06,0.05726,0.168309
0.01875,-0.404756,0.47068,7480.27,-0.540548,339.11,0.000383973,0.204372
0.021875,-0.368233,0.428535,7229.56,-0.530849,250.71,0.00969905,0.140987
0.025,-0.363043,0.421958,7215.3,-0.483544,14.2603,0.047305,0.14871
0.028125,-0.36053,0.41773,7140.7,-0.425049,74.5996,0.058495,0.139489
0.03125,-0.342727,0.397042,6948.71,-0.385327,191.99,0.039722,0.161293
0.034375,-0.349984,0.402513,7141.19,-0.300569,192.48,0.084758,0.155608
0.0375,-0.330724,0.379517,7021.96,-0.166074,119.23,0.134495,0.164717
0.040625,-0.299578,0.341059,6830.11,-0.0878142,191.85,0.0782598,0.157789
0.04375,-0.282546,0.320711,6734.19,0.0710477,95.9199,0.158862,0.204704
0.046875,-0.275364,0.310165,6641.21,0.292513,92.98,0.221465,0.547718
0.05,-0.380233,0.438764,7307.41,-0.00743977,666.2,0.299953,1.38079
0.053125,-0.362863,0.414176,7303.53,0.0747629,3.88037,0.0822027,0.579608
0.05625,-0.364495,0.416533,7332.48,0.111515,28.9502,0.0367521,0.129924
0.059375,-0.356388,0.408371,7295.19,0.152279,37.29,0.040764,0.134755
0.0625,-0.34656,0.395126,7277.1,0.109503,18.0898,0.042776,0.202767
0.065625,-0.36525,0.415951,7412.15,0.0396192,135.05,0.0698838,0.213215
0.06875,-0.377306,0.42734,7487.93,-0.00716805,75.7803,0.0467873,0.215679
0.071875,-0.407566,0.463616,7676.7,-0.101808,188.77,0.0946399,0.256706
0.075,-0.387509,0.446784,7417.16,-0.294884,259.54,0.193076,0.387045
0.078125,-0.331827,0.387189,6914.96,-0.431035,502.2,0.136151,0.269839
0.08125,-0.347242,0.406481,7019.66,-0.538593,104.7,0.107558,0.317918
0.084375,-0.347541,0.408277,6945.16,-0.602117,74.5,0.063524,0.293913
0.0875,-0.326769,0.38185,6871.44,-0.635848,73.7202,0.033731,0.305032
0.090625,-0.33093,0.387374,6986.38,-0.703539,114.94,0.067691,0.265638
0.09375,-0.32014,0.375508,6900.62,-0.687701,85.7598,0.015838,0.210097
0.096875,-0.31531,0.370287,6905.04,-0.712088,4.41992,0.024387,0.237376
0.1,-0.312153,0.366525,6887.58,-0.675597,17.46,0.036491,0.173961
0.103125,-0.323874,0.379748,7051.03,-0.689459,163.45,0.013862,0.173853
0.10625,-0.32833,0.385433,7053.52,-0.713244,2.49023,0.023785,0.175543
0.109375,-0.324286,0.378236,7011.87,-0.677644,41.6499,0.0356,0.178019
0.1125,-0.327904,0.379475,7105.74,-0.653865,93.8701,0.023779,0.182849
0.115625,-0.34703,0.399367,7315.73,-0.661052,209.99,0.00718701,0.155352
0.11875,-0.362642,0.418166,7464.89,-0.620337,149.16,0.040715,0.162949
0.121875,-0.379466,0.439623,7572.64,-0.61219,107.75,0.008147,0.176797
0.125,-0.356319,0.413287,7377.73,-0.600714,194.91,0.011476,0.179859
0.128125,-0.340232,0.393478,7184.27,-0.559261,193.46,0.041453,0.157128
0.13125,-0.343902,0.398323,7137.32,-0.512905,46.9502,0.046356,0.133321
0.134375,-0.315942,0.366606,6902.24,-0.4067,235.08,0.106205,0.105198
0.1375,-0.278294,0.318627,6417.24,-0.870961,485.0,0.464261,1.23384
0.140625,-0.282839,0.324095,6495.83,-0.58465,78.5898,0.286311,0.217965
0.14375,-0.275158,0.315351,6446.5,-0.453762,49.3301,0.130888,0.146158
0.146875,-0.30403,0.350165,6699.69,-0.350715,253.19,0.103047,0.15966
0.15,-0.331455,0.385774,6870.4,-0.319297,170.71,0.031418,0.320842
0.153125,-0.28948,0.337517,6476.51,-0.409859,393.89,0.090562,0.899605
0.15625,-0.298583,0.350997,6428.03,-0.44575,48.48,0.035891,0.237052
0.159375,-0.319046,0.376324,6586.84,-0.48939,158.81,0.04364,0.204433
0.1625,-0.359298,0.426199,6893.56,-0.535875,306.72,0.046485,0.218836
0.165625,-0.364492,0.432936,6921.25,-0.59584,27.6899,0.059965,0.217577
0.16875,-0.395185,0.469381,7256.83,-0.627816,335.58,0.031976,0.219173
0.171875,-0.405053,0.479754,7346.08,-0.725897,89.25,0.098081,0.249802
0.175,-0.409602,0.485742,7398.18,-0.728958,52.1001,0.003061,0.174468
0.178125,-0.393038,0.46565,7285.12,-0.778846,113.06,0.049888,0.182892
0.18125,-0.361818,0.425167,7121.4,-0.824839,163.72,0.045993,0.20069
0.184375,-0.371285,0.435306,7205.8,-0.822209,84.3999,0.00263,0.141889
0.1875,-0.366112,0.426819,7170.12,-0.839194,35.6797,0.016985,0.200814
0.190625,-0.349683,0.406034,7088.22,-0.809279,81.8999,0.029915,0.179174
0.19375,-0.381312,0.444591,7298.4,-0.807592,210.18,0.00168705,0.20359
0.196875,-0.388686,0.450714,7416.28,-0.792807,117.88,0.014785,0.155714
0.2,-0.393023,0.45582,7414.71,-0.753829,1.56982,0.038978,0.130596
0.203125,-0.384745,0.444221,7371.72,-0.731225,42.9897,0.022604,0.139819
0.20625,-0.389727,0.453714,7292.64,-0.704653,79.0801,0.026572,0.13016
0.209375,-0.36614,0.426618,7093.44,-0.649373,199.2,0.05528,0.116527
0.2125,-0.369743,0.431884,7102.99,-0.555575,9.55029,0.093798,0.133619
0.215625,-0.361948,0.424597,7010.44,-0.464026,92.5503,0.091549,0.136899
0.21875,-0.340098,0.397207,6848.53,-0.388687,161.91,0.075339,0.118531
0.221875,-0.34517,0.403835,6862.15,-0.24025,13.6201,0.148437,0.143167
0.225,-0.310853,0.364162,6579.64,-0.0294188,282.51,0.210831,0.138347
0.228125,-0.297388,0.349655,6501.97,0.200499,77.6699,0.229918,0.164959
0.23125,-0.268618,0.315729,6283.13,0.395392,218.84,0.194893,0.138347
0.234375,-0.253159,0.297015,6201.25,0.729832,81.8799,0.33444,0.177757
0.2375,-0.242873,0.284084,6130.61,0.980547,70.6401,0.250715,0.148563
0.240625,-0.249444,0.292452,6170.19,1.31488,39.5801,0.334333,0.182183
0.24375,-0.254378,0.297898,6203.02,1.52019,32.8301,0.20531,0.117351
0.246875,-0.264663,0.313517,6234.29,1.2239,31.27,0.29629,0.300388
0.25,-0.341747,0.395702,7010.43,-2.13479,776.14,2.9245,1.3111
0.253125,-0.372402,0.43102,7309.64,-2.14769,299.21,0.0129001,0.179857
0.25625,-0.404012,0.470303,7490.53,-2.25126,180.89,0.10357,0.195082
