time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.449443,0.532467,7410.35,0.0278261,0.0,0.0,0.0
0.003125,-0.451478,0.535213,7438.63,0.0276791,28.2798,0.000147,0.129813
0.00625,-0.469831,0.55648,7578.55,0.0196796,139.92,0.0079995,0.130207
0.009375,-0.476782,0.563703,7590.01,0.00326155,11.46,0.0164181,0.126426
0.0125,-0.502422,0.591101,7762.09,-0.0067445,172.08,0.010006,0.131427
0.015625,-0.50873,0.595365,7821.5,-0.0216445,59.4102,0.0149,0.144637
0.01875,-0.481807,0.561733,7644.12,-0.0482109,177.38,0.0265664,0.132901
0.021875,-0.465338,0.541807,7554.9,-0.0548595,89.2202,0.0066486,0.150379
0.025,-0.460226,0.535488,7516.78,-0.0601719,38.1201,0.0053124,0.140441
0.028125,-0.461474,0.538574,7518.79,-0.0584815,2.01025,0.0016904,0.136127
0.03125,-0.452431,0.529408,7451.6,-0.052392,67.1899,0.0060895,0.139318
0.034375,-0.452867,0.531,7461.25,-0.0489549,9.6499,0.0034371,0.134241
0.0375,-0.455402,0.535003,7484.67,-0.0560429,23.4199,0.007088,0.14967
0.040625,-0.455456,0.534696,7521.26,-0.0469495,36.5898,0.0090934,0.143707
0.04375,-0.43699,0.511988,7367.49,-0.00960078,153.77,0.0373487,0.139197
0.046875,-0.422419,0.495541,7233.58,0.00582314,133.91,0.0154239,0.12793
0.05,-0.427412,0.502813,7282.37,0.0320969,48.79,0.0262738,0.129229
0.053125,-0.435709,0.514882,7333.8,0.018695,51.4297,0.0134019,0.149686
0.05625,-0.419152,0.497748,7191.49,0.0279682,142.31,0.0092732,0.140661
0.059375,-0.410346,0.489704,7103.93,0.0139906,87.5601,0.0139776,0.134176
0.0625,-0.400393,0.480586,6997.1,-0.0148099,106.83,0.0288005,0.140164
0.065625,-0.381487,0.459618,6821.54,-0.0301704,175.56,0.0153605,0.136515
0.06875,-0.374473,0.451472,6755.07,-0.0147664,66.4702,0.015404,0.140627
0.071875,-0.395018,0.475172,6922.23,-0.0169282,167.16,0.0021618,0.151779
0.075,-0.398741,0.478297,6973.31,0.00247397,51.0801,0.0194022,0.151057
0.078125,-0.404965,0.487016,7003.94,0.00772949,30.6299,0.00525552,0.130445
0.08125,-0.415315,0.499647,7051.56,0.0128039,47.6201,0.00507441,0.118399
0.084375,-0.421835,0.507822,7089.17,-0.00161294,37.6099,0.0144168,0.123762
0.0875,-0.426315,0.512304,7140.19,-0.00287719,51.02,0.00126425,0.138642
0.090625,-0.451581,0.540834,7365.36,-0.00979425,225.17,0.00691706,0.125493
0.09375,-0.474373,0.566701,7577.34,-0.0210963,211.98,0.0113021,0.116134
0.096875,-0.481367,0.57279,7643.3,-0.0339286,65.96,0.0128323,0.127384
0.1,-0.487253,0.578453,7699.92,-0.0212018,56.6201,0.0127268,0.1357
0.103125,-0.482534,0.572688,7702.61,-0.0271264,2.68994,0.0059246,0.121267
0.10625,-0.482627,0.573358,7698.64,-0.0482767,3.96973,0.0211503,0.119789
0.109375,-0.487964,0.581099,7736.52,-0.0521096,37.8799,0.0038329,0.120858
0.1125,-0.468535,0.558169,7541.54,-0.0361336,194.98,0.015976,0.148243
0.115625,-0.464929,0.554058,7485.09,-0.0478597,56.4502,0.0117261,0.13714
0.11875,-0.45495,0.540608,7410.56,-0.0463419,74.5298,0.0015178,0.143526
0.121875,-0.421755,0.500156,7194.05,-0.045701,216.51,0.000640899,0.138339
0.125,-0.386339,0.456849,6925.51,-0.00552081,268.54,0.0401802,0.13534
0.128125,-0.367672,0.436276,6713.73,0.0389661,211.78,0.0444869,0.152764
0.13125,-0.380205,0.451696,6827.71,0.0652717,113.98,0.0263056,0.155553
0.134375,-0.38903,0.464011,6882.72,0.0911684,55.0103,0.0258967,0.137934
0.1375,-0.401059,0.480478,6934.39,0.0834111,51.6699,0.00775731,0.138123
0.140625,-0.384239,0.461801,6768.33,0.0467567,166.06,0.0366544,0.147317
0.14375,-0.386814,0.464773,6780.85,0.0662901,12.52,0.0195334,0.131922
0.146875,-0.389829,0.468339,6773.89,0.0541408,6.95996,0.0121493,0.135688
0.15,-0.366862,0.442071,6558.73,0.0410887,215.16,0.0130521,0.148628
0.153125,-0.371172,0.448327,6579.92,0.0217508,21.1899,0.0193379,0.1233
0.15625,-0.37568,0.454161,6625.87,0.00450194,45.9502,0.0172489,0.134581
0.159375,-0.372029,0.44994,6608.95,0.0151142,16.9199,0.0106123,0.134219
0.1625,-0.390039,0.471605,6756.69,-0.0106069,147.74,0.0257211,0.127085
0.165625,-0.393196,0.472715,6774.25,-0.0431157,17.5601,0.0325088,0.129846
0.16875,-0.402715,0.482289,6878.58,-0.0354046,104.33,0.0077111,0.159818
0.171875,-0.41524,0.495575,6999.02,-0.00673672,120.44,0.0286679,0.134358
0.175,-0.438042,0.521796,7192.34,0.0224584,193.32,0.0291951,0.131467
0.178125,-0.443205,0.527776,7265.19,0.0250184,72.8501,0.00256,0.13144
0.18125,-0.456639,0.544543,7398.43,0.0406325,133.24,0.0156141,0.129325
0.184375,-0.467189,0.555811,7484.88,0.0344239,86.4497,0.0062086,0.145114
0.1875,-0.464019,0.551182,7483.72,0.0428105,1.15967,0.0083866,0.137554
0.190625,-0.47075,0.558935,7542.48,0.0474909,58.7598,0.0046804,0.123279
0.19375,-0.484396,0.575552,7638.35,0.0475755,95.8701,8.46013e-05,0.127096
0.196875,-0.48248,0.576166,7598.83,0.0312712,39.52,0.0163043,0.124065
0.2,-0.481277,0.576158,7571.26,0.0416422,27.5703,0.010371,0.113219
0.203125,-0.491389,0.588667,7634.49,0.0272193,63.2305,0.0144229,0.115348
0.20625,-0.474306,0.569666,7480.92,0.00106672,153.57,0.0261526,0.125936
0.209375,-0.4683,0.563708,7419.85,0.0156211,61.0698,0.0145544,0.126409
0.2125,-0.458308,0.551861,7329.93,0.0394767,89.9199,0.0238556,0.128796
0.215625,-0.445868,0.53659,7232.84,0.0562763,97.0903,0.0167996,0.136754
0.21875,-0.428486,0.51345,7103.7,0.0992454,129.14,0.0429691,0.139619
0.221875,-0.408605,0.488836,6940.2,0.12378,163.5,0.0245346,0.136384
0.225,-0.412763,0.494923,6964.66,0.144323,24.46,0.020543,0.140107
0.228125,-0.420502,0.505601,7050.93,0.159562,86.27,0.015239,0.145546
0.23125,-0.430988,0.518987,7127.7,0.15647,76.77,0.00309201,0.121736
0.234375,-0.431417,0.521235,7094.49,0.131422,33.21,0.025048,0.141352
0.2375,-0.420353,0.508862,6970.48,0.0527902,124.01,0.0786318,0.143836
0.240625,-0.416836,0.505402,6931.79,0.0321442,38.6899,0.020646,0.129925
0.24375,-0.418597,0.506227,6974.01,0.00558679,42.2197,0.0265574,0.122128
0.246875,-0.43348,0.522374,7101.98,-0.0113694,127.97,0.0169562,0.13554
0.25,-0.457001,0.549126,7314.37,-0.0207858,212.39,0.0094164,0.125513
0.253125,-0.473069,0.567016,7459.12,-0.0211031,144.75,0.000317302,0.134437
0.25625,-0.483577,0.578204,7557.1,-0.0218798,97.98,0.000776699,0.131729
0.259375,-0.4738,0.564783,7519.24,-0.0203306,37.8599,0.0015492,0.125109
0.2625,-0.45865,0.546983,7413.82,-0.000974753,105.42,0.0193558,0.149034
0.265625,-0.438541,0.522066,7271.88,0.0154178,141.94,0.0163926,0.135023
0.26875,-0.432496,0.516215,7199.2,0.00331671,72.6797,0.0121011,0.147449
0.271875,-0.417549,0.498098,7062.2,0.00704276,137.0,0.00372605,0.128621
0.275,-0.405464,0.484379,6961.0,-0.00314817,101.2,0.0101909,0.139736
0.278125,-0.395832,0.473843,6845.34,0.047975,115.66,0.0511232,0.1463
0.28125,-0.425669,0.512231,7057.72,0.113877,212.38,0.065902,0.161958
0.284375,-0.434363,0.524285,7103.03,0.112728,45.3096,0.001149,0.159857
0.2875,-0.470276,0.569986,7387.23,0.12438,284.2,0.011652,0.149434
0.290625,-0.476825,0.579275,7433.3,0.125473,46.0698,0.00109299,0.149663
0.29375,-0.473725,0.576515,7389.58,0.111847,43.7197,0.013626,0.142874
0.296875,-0.478574,0.5818,7446.71,0.0814931,57.1299,0.0303539,0.155751
0.3,-0.483031,0.58786,7483.45,0.0525506,36.7402,0.0289425,0.140667
0.303125,-0.485046,0.589967,7467.68,0.0175649,15.77,0.0349857,0.139105
0.30625,-0.4866,0.591632,7444.6,-0.01429,23.0801,0.0318549,0.160453
0.309375,-0.480315,0.583044,7415.85,-0.0582747,28.75,0.0439847,0.133736
0.3125,-0.461064,0.558254,7263.51,-0.0876076,152.34,0.0293329,0.143825
0.315625,-0.43985,0.531606,7129.06,-0.101499,134.45,0.0138914,0.126291
0.31875,-0.422426,0.509493,7000.79,-0.0934112,128.27,0.0080878,0.147869
0.321875,-0.415935,0.501855,6955.37,-0.0735767,45.4199,0.0198345,0.132188
0.325,-0.424471,0.511474,7038.64,-0.0363278,83.27,0.0372489,0.144238
0.328125,-0.432985,0.520522,7116.49,-0.0392961,77.8501,0.0029683,0.149127
0.33125,-0.432669,0.518423,7147.29,-0.00998674,30.7998,0.0293094,0.154848
0.334375,-0.45873,0.549215,7363.96,-0.0308732,216.67,0.0208865,0.146118
0.3375,-0.478478,0.573471,7506.38,-0.0402742,142.42,0.009401,0.14265
0.340625,-0.48686,0.583226,7554.18,-0.0401201,47.8003,0.0001541,0.150572
0.34375,-0.489856,0.586357,7590.48,-0.00239027,36.2998,0.0377298,0.136741
0.346875,-0.502078,0.602445,7675.23,0.0301753,84.75,0.0325656,0.133993
0.35,-0.497995,0.599389,7623.21,0.0523561,52.02,0.0221808,0.120948
0.353125,-0.501571,0.604135,7651.97,0.0443942,28.7603,0.0079619,0.124338
0.35625,-0.502409,0.604668,7661.27,0.032116,9.2998,0.0122782,0.123651
0.359375,-0.516515,0.620965,7761.31,0.0270656,100.04,0.0050504,0.123081
0.3625,-0.515385,0.617945,7793.95,0.0159086,32.6401,0.011157,0.142677
0.365625,-0.524056,0.627156,7854.34,-0.000798271,60.3896,0.0167069,0.141452
0.36875,-0.506241,0.604905,7731.64,0.00573684,122.7,0.00653511,0.13563
0.371875,-0.518646,0.621534,7840.98,0.00456312,109.34,0.00117372,0.147467
0.375,-0.543389,0.653563,8016.01,0.00480753,175.03,0.00024441,0.129004
0.378125,-0.541008,0.651775,7966.95,0.00382375,49.0596,0.00098378,0.119494
0.38125,-0.542647,0.65578,7983.69,0.00945313,16.7397,0.00562938,0.118236
0.384375,-0.53305,0.644591,7909.64,0.0164146,74.0498,0.00696147,0.117087
0.3875,-0.531197,0.642087,7880.04,0.0132652,29.6001,0.0031494,0.115146
0.390625,-0.514177,0.62314,7747.97,0.0180054,132.07,0.0047402,0.11728
0.39375,-0.493434,0.598864,7579.44,0.00613528,168.53,0.0118701,0.122717
0.396875,-0.506917,0.614046,7680.06,-0.000238081,100.62,0.00637336,0.125619
0.4,-0.508125,0.615803,7691.21,0.00349347,11.1499,0.00373155,0.121339
0.403125,-0.514389,0.623764,7772.59,0.0144532,81.3799,0.0109597,0.126058
0.40625,-0.532164,0.643726,7892.57,0.0133996,119.98,0.0010536,0.137084
0.409375,-0.536224,0.648191,7950.43,0.022936,57.8604,0.0095364,0.109022
0.4125,-0.544105,0.657257,7978.26,0.0352922,27.8296,0.0123562,0.108562
0.415625,-0.548875,0.66242,8022.02,0.00837159,43.7603,0.0269206,0.119915
0.41875,-0.522267,0.629082,7861.1,0.0169154,160.92,0.00854381,0.124027
0.421875,-0.52415,0.630835,7894.5,0.0305765,33.3999,0.0136611,0.133988
0.425,-0.512993,0.616963,7815.73,0.056722,78.77,0.0261455,0.126988
0.428126,-0.5139,0.61772,7852.03,0.0708408,36.2998,0.0141188,0.113772
0.431251,-0.518994,0.624774,7880.61,0.0752332,28.5801,0.0043924,0.12858
0.434376,-0.520818,0.628114,7872.73,0.0628864,7.87988,0.0123468,0.126993
0.437501,-0.497452,0.599165,7695.02,0.0750677,177.71,0.0121813,0.112462
0.440626,-0.482299,0.580226,7584.79,0.0929035,110.23,0.0178358,0.124859
0.443751,-0.478568,0.576098,7547.18,0.0975074,37.6099,0.0046039,0.109753
0.446876,-0.489847,0.590588,7628.92,0.0894042,81.7397,0.0081032,0.115949
0.450001,-0.493278,0.595055,7664.91,0.0948229,35.9902,0.0054187,0.109894
