time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.378281,0.419063,7126.2,0.155233,0.0,0.0,0.0
0.003125,-0.413733,0.46395,7404.99,0.178704,278.79,0.023471,0.142879
0.00625,-0.388938,0.434013,7233.84,0.159458,171.15,0.019246,0.131514
0.009375,-0.371835,0.415418,7047.43,0.12386,186.41,0.035598,0.133998
0.0125,-0.340586,0.378916,6719.61,0.0643037,327.82,0.0595563,0.114856
0.015625,-0.310704,0.34774,6397.71,0.0550611,321.9,0.00924261,0.127119
0.01875,-0.281892,0.319873,6093.82,0.0655912,303.89,0.0105301,0.121736
0.021875,-0.275161,0.313885,6043.36,0.06067,50.46,0.0049212,0.132964
0.025,-0.259081,0.298523,5820.0,0.0849217,223.36,0.0242517,0.131439
0.028125,-0.259516,0.299604,5748.15,0.00846954,71.8501,0.0764522,0.138678
0.03125,-0.259684,0.298291,5690.94,-0.0648368,57.21,0.0733063,0.154898
0.034375,-0.231445,0.263004,5430.09,-0.0787386,260.85,0.0139018,0.149586
0.0375,-0.24898,0.280058,5803.95,-0.0484486,373.86,0.03029,0.142819
0.040625,-0.296033,0.327262,6460.8,-0.0759682,656.85,0.0275196,0.145225
0.04375,-0.351632,0.383759,6997.83,-0.0663715,537.03,0.0095967,0.125303
0.046875,-0.337506,0.35529,6995.22,-0.0186649,2.60986,0.0477066,0.145114
0.05,-0.385323,0.404964,7494.7,-0.047288,499.48,0.0286231,0.121255
0.053125,-0.418764,0.442547,7803.43,-0.0690585,308.73,0.0217705,0.108202
0.05625,-0.494464,0.528078,8424.11,-0.0948779,620.68,0.0258194,0.11162
0.059375,-0.501298,0.532974,8480.74,-0.122827,56.6299,0.0279491,0.115673
0.0625,-0.518458,0.551792,8540.63,-0.118151,59.8896,0.004676,0.120674
0.065625,-0.456417,0.48473,7958.88,-0.059053,581.75,0.059098,0.128026
0.06875,-0.431964,0.458877,7742.72,-0.0548973,216.16,0.0041557,0.111917
0.071875,-0.43885,0.464548,7914.23,-0.0276917,171.51,0.0272056,0.123212
0.075,-0.46129,0.492837,8134.99,-0.025588,220.76,0.0021037,0.118508
0.078125,-0.477107,0.509461,8228.12,-0.0586188,93.1299,0.0330308,0.126866
0.08125,-0.50104,0.539898,8280.16,-0.0554136,52.04,0.0032052,0.136415
0.084375,-0.531181,0.582507,8347.84,0.00301118,67.6797,0.0584248,0.13668
0.0875,-0.473763,0.525863,7820.35,0.0494389,527.49,0.0464277,0.116111
0.090625,-0.459229,0.518666,7679.19,0.137025,141.16,0.0875861,0.128511
0.09375,-0.445306,0.507097,7543.91,0.15263,135.28,0.015605,0.117179
0.096875,-0.424786,0.486595,7359.36,0.113042,184.55,0.039588,0.126397
0.1,-0.362354,0.412982,6861.13,0.0920078,498.23,0.0210342,0.125047
0.103125,-0.364227,0.418497,6861.34,0.0770859,0.209961,0.0149219,0.125873
0.10625,-0.358185,0.415229,6821.69,0.0803644,39.6499,0.0032785,0.132073
0.109375,-0.371103,0.424221,7081.67,0.106866,259.98,0.0265016,0.1171
0.1125,-0.403105,0.459937,7399.67,0.0627334,318.0,0.0441326,0.124465
0.115625,-0.35758,0.402855,7118.43,0.0147508,281.24,0.0479826,0.130592
0.11875,-0.409423,0.463684,7559.28,-0.00657265,440.85,0.0213234,0.117044
0.121875,-0.458098,0.514875,8000.31,-0.0425148,441.03,0.0359422,0.11047
0.125,-0.492625,0.554204,8265.76,-0.0285887,265.45,0.0139261,0.121848
0.128125,-0.521812,0.580931,8546.78,-0.070989,281.021,0.0424003,0.114939
0.13125,-0.578474,0.642829,8956.91,-0.111748,410.13,0.040759,0.126293
0.134375,-0.560869,0.621957,8873.62,-0.0815657,83.29,0.0301823,0.139927
