time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.347966,0.429155,6330.62,-0.708784,0.0,0.0,0.0
0.003125,-0.339297,0.418379,6288.71,-0.686466,41.9102,0.022318,0.190309
0.00625,-0.34892,0.428485,6363.94,-0.623144,75.23,0.063322,0.209221
0.009375,-0.363612,0.447738,6489.35,-0.560774,125.41,0.0623699,0.217882
0.0125,-0.357751,0.440272,6449.42,-0.55183,39.9302,0.00894403,0.215806
0.015625,-0.371404,0.456114,6550.62,-0.421619,101.2,0.130211,0.179166
0.01875,-0.375966,0.461696,6568.51,-0.490277,17.8896,0.068658,0.201844
0.021875,-0.381224,0.468132,6601.45,-0.474107,32.9404,0.01617,0.189992
0.025,-0.37763,0.464531,6562.46,-0.430617,38.9902,0.04349,0.179094
0.028125,-0.390246,0.480087,6660.65,-0.465897,98.1899,0.03528,0.176867
0.03125,-0.387135,0.47591,6659.61,-0.440196,1.04004,0.025701,0.187646
0.034375,-0.399717,0.490392,6797.38,-0.722878,137.77,0.282682,0.223137
0.0375,-0.38439,0.471708,6689.68,-1.34022,107.7,0.617342,0.337339
0.040625,-0.37724,0.460531,6633.42,-1.79753,56.2603,0.45731,0.267673
0.04375,-0.372239,0.454992,6588.83,-1.94839,44.5898,0.15086,0.241896
0.046875,-0.393726,0.481458,6792.59,-1.71574,203.76,0.23265,0.475243
0.05,-0.428943,0.52467,7078.33,-1.50273,285.74,0.21301,0.352765
0.053125,-0.411335,0.502571,6959.63,-1.31599,118.7,0.18674,0.279243
0.05625,-0.407752,0.496873,6951.41,-1.23965,8.21973,0.07634,0.156005
0.059375,-0.417921,0.511027,7024.01,-1.15996,72.5996,0.07969,0.234703
0.0625,-0.410774,0.502195,6956.84,-1.10738,67.1699,0.05258,0.170932
0.065625,-0.477668,0.584616,7511.01,-0.982828,554.17,0.124552,0.153087
0.06875,-0.45517,0.55545,7318.9,-1.02304,192.11,0.040212,0.234643
0.071875,-0.476181,0.580626,7477.61,-1.00908,158.71,0.01396,0.163196
0.075,-0.486833,0.592815,7566.14,-0.960609,88.5303,0.048471,0.165016
0.078125,-0.477039,0.580764,7470.13,-0.976909,96.0103,0.0163,0.212897
0.08125,-0.448734,0.546897,7257.12,-0.892522,213.01,0.084387,0.199084
0.084375,-0.409344,0.499716,6962.57,-0.87799,294.55,0.014532,0.241932
0.0875,-0.423738,0.518218,7068.97,-0.854086,106.4,0.023904,0.21891
0.090625,-0.413595,0.505459,7005.93,-0.850207,63.04,0.00387901,0.239771
0.09375,-0.394171,0.481868,6904.94,-1.26996,100.99,0.419753,1.38093
0.096875,-0.432456,0.526816,7262.43,-1.14468,357.49,0.12528,0.287385
0.1,-0.447808,0.543474,7288.67,0.742535,26.2397,1.88722,1.81782
0.103125,-0.430816,0.523486,7090.6,0.769507,198.07,0.026972,0.623943
0.10625,-0.420122,0.513502,6990.86,0.288957,99.7402,0.48055,0.28125
0.109375,-0.443753,0.541727,7167.99,0.098386,177.13,0.190571,0.247117
0.1125,-0.429912,0.525931,7088.87,0.118912,79.1201,0.020526,0.172327
0.115625,-0.433403,0.528425,7086.13,0.0851959,2.74023,0.0337161,0.265704
0.11875,-0.407887,0.497027,6899.06,0.183751,187.07,0.0985551,0.229143
0.121875,-0.440557,0.538321,7189.59,0.190472,290.53,0.006721,0.24571
0.125,-0.450153,0.549672,7275.11,0.239558,85.52,0.049086,0.210731
0.128125,-0.500862,0.613338,7699.1,0.300732,423.99,0.061174,0.214396
0.13125,-0.509661,0.622919,7786.69,0.27855,87.5898,0.022182,0.222989
0.134375,-0.525561,0.640188,7866.39,0.28022,79.7002,0.00167,0.195258
0.1375,-0.55648,0.678683,8095.32,0.225378,228.93,0.054842,0.181353
0.140625,-0.518744,0.629616,7819.79,0.244344,275.53,0.018966,0.242556
0.14375,-0.507437,0.617444,7711.39,0.204734,108.4,0.03961,0.190894
0.146875,-0.502138,0.613133,7681.87,0.208383,29.52,0.003649,0.183585
0.15,-0.477563,0.586759,7449.85,0.276542,232.02,0.068159,0.182599
