time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.155372,0.19618,4199.53,-0.0298802,0.0,0.0,0.0
0.003125,-0.150367,0.188963,4168.53,-0.0346173,31.0,0.0047371,0.175631
0.00625,-0.147634,0.184395,4191.31,-0.0307494,22.7803,0.0038679,0.192308
0.009375,-0.144045,0.179581,4161.5,-0.0635354,29.8101,0.032786,0.223804
0.0125,-0.148292,0.184074,4201.27,-0.0340976,39.77,0.0294378,0.190021
0.015625,-0.141501,0.174564,4139.68,-0.0742468,61.5898,0.0401492,0.190061
0.01875,-0.141335,0.173953,4137.16,-0.116828,2.52002,0.0425812,0.197476
0.021875,-0.151447,0.184669,4359.62,-0.0806524,222.46,0.0361756,0.21319
0.025,-0.167952,0.205654,4550.15,-0.0178416,190.53,0.0628108,0.252335
0.028125,-0.170765,0.210357,4575.44,0.00261926,25.29,0.0204609,0.176593
0.03125,-0.191114,0.237848,4752.33,0.0106422,176.89,0.00802294,0.166761
0.034375,-0.195946,0.244923,4795.2,-0.00545399,42.8701,0.0160962,0.146701
0.0375,-0.203886,0.255284,4854.6,-0.0273218,59.3999,0.0218678,0.150403
0.040625,-0.204715,0.256973,4864.38,-0.0352641,9.77979,0.0079423,0.227315
0.04375,-0.212647,0.266272,4976.94,-0.0471191,112.56,0.011855,0.1501
0.046875,-0.226777,0.284613,5111.99,-0.0542488,135.05,0.0071297,0.165892
0.05,-0.196113,0.243865,4836.71,-0.0953251,275.28,0.0410763,0.184314
0.053125,-0.195694,0.244101,4803.78,-0.100702,32.9302,0.00537691,0.197453
0.05625,-0.183738,0.228975,4679.83,-0.127818,123.95,0.027116,0.173854
0.059375,-0.164211,0.202208,4495.98,-0.131631,183.85,0.003813,0.205673
0.0625,-0.161089,0.19765,4440.19,-0.145787,55.79,0.014156,0.178306
0.065625,-0.161065,0.197459,4416.29,-0.115536,23.8999,0.030251,0.210623
0.06875,-0.143607,0.17484,4247.43,-0.0106767,168.86,0.104859,1.73014
0.071875,-0.159559,0.194114,4480.19,-0.00235438,232.76,0.00832232,0.155192
0.075,-0.182338,0.221024,4804.59,0.00210061,324.4,0.00445499,0.216632
0.078125,-0.199068,0.243965,4941.77,-0.0153453,137.18,0.0174459,0.182316
0.08125,-0.203451,0.250406,4996.15,-0.0235047,54.3799,0.0081594,0.206934
0.084375,-0.214726,0.26498,5103.58,-0.0104867,107.43,0.013018,0.194259
0.0875,-0.223246,0.275898,5166.24,-0.0591329,62.6602,0.0486462,0.208712
0.090625,-0.224275,0.276714,5145.27,-0.0472124,20.9702,0.0119205,0.183048
0.09375,-0.221197,0.274019,5064.59,-0.0204087,80.6802,0.0268037,0.177351
0.096875,-0.22032,0.272821,5043.15,-0.00349196,21.4399,0.0169167,0.200716
0.1,-0.232174,0.28751,5181.75,-0.0310778,138.6,0.0275858,0.200758
0.103125,-0.222059,0.274366,5079.72,-0.0351029,102.03,0.0040251,0.20509
