time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.393109,0.457371,7159.16,-0.0146849,0.0,0.0,0.0
0.003125,-0.391376,0.457701,7130.63,-0.0219097,28.5303,0.0072248,0.139995
0.00625,-0.401223,0.470901,7183.62,-0.0503925,52.9902,0.0284828,0.129101
0.009375,-0.393139,0.463548,7088.43,-0.0878555,95.1899,0.037463,0.149602
0.0125,-0.368687,0.437417,6836.52,-0.136741,251.91,0.0488855,0.161141
0.015625,-0.374215,0.444456,6899.52,-0.157307,63.0,0.020566,0.152385
0.01875,-0.387479,0.460826,7037.81,-0.198589,138.29,0.041282,0.141406
0.021875,-0.372508,0.444902,6904.37,-0.228241,133.44,0.029652,0.143237
0.025,-0.381076,0.455876,6951.28,-0.252043,46.9097,0.023802,0.16105
0.028125,-0.39072,0.468163,6993.75,-0.222506,42.4702,0.029537,0.148901
0.03125,-0.393249,0.474871,6992.29,-0.205069,1.45996,0.017437,0.15333
0.034375,-0.3832,0.463515,6887.99,-0.16723,104.3,0.037839,0.137805
0.0375,-0.377173,0.455821,6831.01,-0.136803,56.9805,0.030427,0.123009
0.040625,-0.379139,0.457885,6839.4,-0.11157,8.39014,0.025233,0.12984
0.04375,-0.3775,0.455126,6773.2,-0.0671559,66.1997,0.0444141,0.149308
0.046875,-0.389395,0.469715,6899.36,-0.00748049,126.16,0.0596754,0.139804
0.05,-0.393607,0.474804,6933.43,0.0341102,34.0703,0.0415907,0.131746
0.053125,-0.412842,0.494469,7118.94,0.0718376,185.51,0.0377274,0.150132
0.05625,-0.427395,0.51039,7250.92,0.0919649,131.98,0.0201273,0.137601
0.059375,-0.436905,0.519706,7361.84,0.108113,110.92,0.0161481,0.138112
0.0625,-0.447164,0.52974,7425.84,0.0999124,64.0,0.0082006,0.142964
0.065625,-0.459038,0.542502,7514.03,0.13515,88.1899,0.0352376,0.150123
0.06875,-0.511697,0.605246,7978.89,0.158999,464.86,0.023849,0.141405
0.071875,-0.5449,0.643957,8256.79,0.185963,277.9,0.026964,0.127208
0.075,-0.570878,0.672961,8481.24,0.214413,224.45,0.02845,0.138594
0.078125,-0.582236,0.681714,8627.02,0.225724,145.779,0.011311,0.145438
0.08125,-0.576406,0.668597,8698.94,0.258786,71.9209,0.033062,0.166403
0.084375,-0.583425,0.672853,8839.18,0.279392,140.239,0.020606,0.162849
0.0875,-0.610911,0.703677,9067.49,0.241462,228.311,0.03793,0.153947
0.090625,-0.614089,0.709317,9142.29,0.217201,74.7998,0.024261,0.150376
0.09375,-0.628638,0.729278,9239.61,0.18257,97.3203,0.034631,0.138488
0.096875,-0.628382,0.728557,9227.65,0.138806,11.96,0.043764,0.144407
