time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.792639,0.889523,10559.7,0.084448,0.0,0.0,0.0
0.003125,-0.759926,0.851014,10406.2,0.0835973,153.5,0.0008507,0.116868
0.00625,-0.75405,0.846084,10341.9,0.0354285,64.2998,0.0481688,0.117719
0.009375,-0.716777,0.807218,10069.5,0.0356954,272.4,0.000266898,0.1188
0.0125,-0.707345,0.797159,9943.49,0.00164656,126.01,0.0340488,0.118962
0.015625,-0.66512,0.752904,9580.47,-0.0104501,363.021,0.0120967,0.125456
0.01875,-0.617403,0.703138,9165.99,-0.011164,414.479,0.000713901,0.122193
0.021875,-0.615536,0.703131,9111.31,-0.0485598,54.6807,0.0373958,0.121867
0.025,-0.599627,0.685566,8945.08,-0.0669247,166.229,0.0183649,0.121264
0.028125,-0.59376,0.68228,8791.31,-0.0585074,153.771,0.0084173,0.128578
0.03125,-0.538612,0.62266,8296.73,-0.0537626,494.579,0.0047448,0.130199
0.034375,-0.579812,0.669007,8570.77,-0.0675637,274.039,0.0138011,0.138725
0.0375,-0.535078,0.623412,8184.25,-0.0640385,386.52,0.0035252,0.122932
0.040625,-0.574913,0.672152,8436.98,-0.0286299,252.73,0.0354086,0.13428
0.04375,-0.575925,0.673125,8494.77,-0.051622,57.7891,0.0229921,0.12687
0.046875,-0.61247,0.713036,8775.5,-0.048544,280.73,0.003078,0.131494
0.05,-0.622352,0.725882,8872.76,-0.0113526,97.2598,0.0371914,0.123646
0.053125,-0.658424,0.761717,9214.57,0.00151014,341.811,0.0128627,0.123156
0.05625,-0.663958,0.765491,9410.08,0.0354049,195.51,0.0338948,0.13539
0.059375,-0.776527,0.88882,10247.7,0.0245331,837.62,0.0108718,0.124316
0.0625,-0.766843,0.87669,10266.7,-0.00127299,19.0,0.0258061,0.122548
0.065625,-0.823787,0.931832,10694.6,-0.0238979,427.899,0.0226249,0.12678
0.06875,-0.839936,0.950089,10875.4,-0.0355229,180.801,0.011625,0.122645
0.071875,-0.853327,0.964576,10958.4,-0.0494252,83.0,0.0139023,0.111985
0.075,-0.824323,0.931252,10712.7,-0.0407196,245.7,0.0087056,0.134883
0.078125,-0.794069,0.90373,10489.9,-0.0316911,222.8,0.0090285,0.129141
0.08125,-0.823054,0.938146,10650.1,-0.0572834,160.199,0.0255923,0.124032
0.084375,-0.786081,0.89408,10400.4,-0.0988062,249.699,0.0415228,0.12321
0.0875,-0.795681,0.907421,10419.3,-0.0835623,18.8994,0.0152439,0.123119
0.090625,-0.782743,0.894,10355.3,-0.0901063,64.0,0.006544,0.133862
0.09375,-0.809889,0.925755,10564.9,-0.073779,209.601,0.0163273,0.114339
0.096875,-0.780276,0.891685,10419.6,-0.104009,145.301,0.03023,0.126733
0.1,-0.799578,0.906645,10558.6,-0.10565,139.0,0.001641,0.12211
0.103125,-0.79187,0.895586,10499.9,-0.108429,58.6992,0.002779,0.118076
0.10625,-0.756736,0.855725,10237.6,-0.107826,262.301,0.000602998,0.123724
0.109375,-0.753259,0.858156,10126.7,-0.101401,110.899,0.006425,0.113091
0.1125,-0.752195,0.86377,9984.07,-0.0957566,142.63,0.0056444,0.11752
0.115625,-0.693384,0.799103,9499.05,-0.0285053,485.021,0.0672513,0.127524
0.11875,-0.676816,0.78089,9370.26,-0.00679287,128.79,0.0217124,0.122543
0.121875,-0.712159,0.824273,9583.9,0.0235709,213.641,0.0303638,0.13195
0.125,-0.704826,0.814892,9617.85,0.0339575,33.9492,0.0103866,0.137445
0.128125,-0.750554,0.865862,9942.23,0.0683663,324.381,0.0344088,0.121709
0.13125,-0.768377,0.883639,10104.7,0.108631,162.47,0.0402647,0.13037
0.134375,-0.79957,0.916117,10403.1,0.12513,298.399,0.016499,0.123512
0.1375,-0.840506,0.956284,10714.0,0.146713,310.9,0.021583,0.12361
0.140625,-0.818509,0.93096,10616.9,0.157625,97.0996,0.010912,0.12662
0.14375,-0.856889,0.971198,10933.0,0.168581,316.1,0.010956,0.12723
0.146875,-0.793494,0.893326,10720.0,0.152258,213.0,0.016323,0.132854
0.15,-0.857989,0.964934,11080.5,0.109713,360.5,0.042545,0.125216
0.153125,-0.823718,0.922923,10883.1,0.0872249,197.4,0.0224881,0.125538
0.15625,-0.756639,0.844739,10440.8,0.0647655,442.3,0.0224594,0.126139
0.159375,-0.704817,0.792627,9976.23,0.015833,464.569,0.0489325,0.128388
0.1625,-0.657058,0.741666,9550.25,-0.00887846,425.98,0.0247115,0.130536
0.165625,-0.587101,0.67123,8971.36,-0.0648281,578.89,0.0559496,0.137116
0.16875,-0.608614,0.69929,9024.18,-0.0687633,52.8193,0.0039352,0.134175
0.171875,-0.58322,0.670374,8796.1,-0.0508442,228.08,0.0179191,0.135078
0.175,-0.605876,0.697605,8894.27,-0.0772689,98.1699,0.0264247,0.142887
0.178125,-0.56736,0.655954,8601.33,-0.117771,292.939,0.0405021,0.129884
0.18125,-0.530686,0.616711,8296.07,-0.12188,305.26,0.004109,0.118114
0.184375,-0.509628,0.591628,8086.84,-0.0900211,209.23,0.0318589,0.139068
0.1875,-0.512931,0.602305,8076.76,-0.0220689,10.0801,0.0679522,0.144604
0.190625,-0.558291,0.654554,8498.39,0.00813983,421.63,0.0302087,0.133958
0.19375,-0.60391,0.703039,8951.04,0.0355834,452.65,0.0274436,0.137745
0.196875,-0.65822,0.767028,9392.24,0.0615036,441.2,0.0259202,0.117106
0.2,-0.678031,0.787172,9665.31,0.0789333,273.069,0.0174297,0.110866
0.203125,-0.74684,0.864661,10283.9,0.086757,618.591,0.0078237,0.115403
0.20625,-0.770384,0.886047,10624.1,0.0762073,340.199,0.0105497,0.118026
0.209375,-0.786442,0.901679,10792.1,0.0459315,168.0,0.0302758,0.121424
0.2125,-0.844872,0.96646,11156.5,0.0430043,364.4,0.0029272,0.127007
0.215625,-0.815755,0.932213,10975.9,0.0237316,180.6,0.0192727,0.116711
0.21875,-0.797343,0.90972,10828.1,-0.0291738,147.801,0.0529054,0.107807
0.221875,-0.768519,0.87567,10592.8,-0.042612,235.3,0.0134382,0.111271
0.225,-0.741845,0.846242,10313.5,-0.0604061,279.3,0.0177941,0.128951
0.228125,-0.728459,0.833035,10154.1,-0.092842,159.4,0.0324359,0.119286
0.23125,-0.752486,0.863206,10184.7,-0.128285,30.6006,0.035443,0.121149
0.234375,-0.723398,0.831696,9912.06,-0.171868,272.641,0.043583,0.127262
0.2375,-0.723097,0.836295,9798.06,-0.186817,114.0,0.014949,0.115392
0.240625,-0.664504,0.767846,9359.03,-0.197132,439.029,0.010315,0.135746
0.24375,-0.639965,0.743753,9103.26,-0.196225,255.771,0.000907004,0.123486
0.246875,-0.640048,0.74902,8994.21,-0.179032,109.05,0.017193,0.132056
0.25,-0.601955,0.709575,8622.94,-0.141375,371.27,0.037657,0.121537
0.253125,-0.608298,0.715057,8665.56,-0.123028,42.6191,0.018347,0.13536
0.25625,-0.61148,0.719067,8639.52,-0.0921702,26.04,0.0308578,0.125951
0.259375,-0.621622,0.734564,8641.58,-0.0379381,2.06055,0.0542321,0.123642
0.2625,-0.608675,0.71611,8614.41,0.00725502,27.1699,0.0451931,0.127171
0.265625,-0.603322,0.706175,8639.27,0.0187159,24.8594,0.0114609,0.121536
0.26875,-0.591467,0.689698,8635.49,0.0563814,3.7793,0.0376655,0.11285
0.271875,-0.62474,0.721701,9039.32,0.109282,403.83,0.0529006,0.144082
0.275,-0.640804,0.738093,9330.45,0.132045,291.13,0.022763,0.142323
0.278125,-0.634794,0.723248,9453.88,0.138918,123.43,0.006873,0.133661
0.28125,-0.676382,0.765944,9815.61,0.121224,361.73,0.017694,0.148674
0.284375,-0.772147,0.871434,10430.7,0.105953,615.09,0.015271,0.1308
0.2875,-0.764026,0.860965,10471.8,0.0973355,41.0996,0.0086175,0.118723
0.290625,-0.779491,0.877201,10550.4,0.0859787,78.6006,0.0113568,0.115167
0.29375,-0.776125,0.865422,10590.1,0.080957,39.6992,0.0050217,0.109365
0.296875,-0.857293,0.957807,11056.1,0.0578546,466.0,0.0231024,0.124755
0.3,-0.850777,0.945245,11070.4,0.031318,14.3008,0.0265366,0.107163
0.303125,-0.839723,0.928932,11027.2,0.00870501,43.2002,0.022613,0.105468
0.30625,-0.787748,0.866095,10722.1,-0.0101395,305.101,0.0188445,0.117942
0.309375,-0.822357,0.89968,10896.3,-0.0330095,174.2,0.02287,0.118248
0.3125,-0.821794,0.901677,10823.4,-0.0506895,72.8994,0.01768,0.106751
0.315625,-0.812531,0.890572,10784.2,-0.0989047,39.2002,0.0482152,0.123206
0.31875,-0.804578,0.870587,10848.2,-0.149388,64.0,0.0504833,0.140145
0.321875,-0.861044,0.931376,11203.4,-0.139934,355.2,0.009454,0.132167
0.325,-0.883257,0.957993,11352.4,-0.118175,149.0,0.021759,0.138907
0.328125,-0.892622,0.965905,11432.0,-0.121967,79.5996,0.003792,0.140186
0.33125,-0.888272,0.960951,11327.9,-0.111353,104.1,0.010614,0.150047
0.334375,-0.890542,0.962047,11375.0,-0.100615,47.0996,0.010738,0.147288
0.3375,-0.864486,0.94571,11086.5,-0.133504,288.5,0.032889,0.153839
0.340625,-0.854735,0.936986,11004.6,-0.105202,81.9004,0.028302,0.148742
0.34375,-0.80414,0.884548,10638.0,-0.0974498,366.6,0.0077522,0.145861
0.346875,-0.778628,0.859865,10426.1,-0.127237,211.9,0.0297872,0.146157
0.35,-0.740255,0.822224,10051.2,-0.123011,374.899,0.00422601,0.143519
0.353125,-0.706865,0.792491,9754.25,-0.12893,296.95,0.005919,0.153919
0.35625,-0.715563,0.803268,9810.57,-0.109188,56.3203,0.019742,0.152155
0.359375,-0.635911,0.70735,9370.87,-0.115239,439.7,0.006051,0.158745
0.3625,-0.671553,0.748108,9587.02,-0.0858756,216.149,0.0293634,0.159079
0.365625,-0.729466,0.805132,10002.4,-0.0905266,415.381,0.004651,0.14864
0.36875,-0.695587,0.758815,9872.69,-0.161218,129.71,0.0706914,0.152738
0.371875,-0.709294,0.770331,10071.3,-0.188438,198.609,0.02722,0.16467
0.375,-0.712459,0.774303,10080.3,-0.164745,9.0,0.023693,0.156944
0.378125,-0.706241,0.766756,10061.6,-0.151833,18.7002,0.012912,0.144855
0.38125,-0.747787,0.814069,10276.9,-0.162354,215.301,0.010521,0.151466
0.384375,-0.774249,0.842599,10420.4,-0.169319,143.5,0.006965,0.148517
0.3875,-0.762002,0.826806,10355.5,-0.195895,64.9004,0.026576,0.147958
0.390625,-0.745466,0.805166,10270.2,-0.232153,85.2998,0.036258,0.167919
0.39375,-0.660291,0.711825,9669.9,-0.223377,600.3,0.00877599,0.155676
0.396875,-0.660149,0.713108,9655.13,-0.181423,14.7705,0.041954,0.157893
0.4,-0.717978,0.779187,10038.3,-0.22194,383.17,0.040517,0.160107
0.403125,-0.755639,0.823258,10266.5,-0.243395,228.2,0.021455,0.159001
0.40625,-0.776624,0.846221,10404.9,-0.202192,138.4,0.041203,0.162499
0.409375,-0.808561,0.887668,10546.5,-0.225261,141.6,0.023069,0.146807
0.4125,-0.786689,0.85627,10490.2,-0.216601,56.2998,0.00866,0.152186
0.415625,-0.775879,0.850764,10382.8,-0.242568,107.4,0.025967,0.141294
0.41875,-0.786911,0.859114,10461.9,-0.221651,79.1006,0.020917,0.141178
0.421875,-0.817978,0.900275,10636.7,-0.225324,174.8,0.003673,0.156815
0.425,-0.89172,0.984905,11110.6,-0.210599,473.899,0.014725,0.15561
0.428126,-0.912741,1.01038,11258.4,-0.218546,147.801,0.007947,0.160503
0.431251,-0.919918,1.01974,11295.4,-0.224794,37.0,0.006248,0.161849
0.434376,-0.889399,0.983393,11116.5,-0.22563,178.9,0.000836,0.150977
0.437501,-0.918889,1.01701,11316.6,-0.246212,200.1,0.020582,0.142601
0.440626,-0.933664,1.03672,11390.8,-0.215236,74.2002,0.030976,0.135621
0.443751,-0.914296,1.01349,11264.2,-0.235995,126.6,0.020759,0.134339
