time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.329028,0.407923,7596.92,0.015681,0.0,0.0,0.0
0.003125,-0.311454,0.385934,7528.09,0.0152603,68.8301,0.000420701,0.126666
0.00625,-0.3151,0.391919,7573.79,0.0446544,45.7002,0.0293941,0.123321
0.009375,-0.342308,0.426079,7697.49,0.0410839,123.7,0.0035705,0.118181
0.0125,-0.348775,0.433116,7783.76,0.0539426,86.2695,0.0128587,0.135576
0.015625,-0.362083,0.448839,7783.32,0.0585967,0.439941,0.0046541,0.128926
0.01875,-0.368726,0.457098,7740.99,0.07398,42.3296,0.0153833,0.127046
0.021875,-0.344781,0.425201,7516.62,0.0791429,224.37,0.00516289,0.137721
0.025,-0.340759,0.41983,7400.33,0.0606964,116.29,0.0184465,0.132918
0.028125,-0.327565,0.402739,7316.38,0.0672068,83.9502,0.0065104,0.120124
0.03125,-0.317966,0.392221,7250.44,0.067626,65.9399,0.000419199,0.132056
0.034375,-0.286723,0.353358,7023.01,0.0620881,227.43,0.0055379,0.13415
0.0375,-0.282399,0.348162,7045.4,0.0749155,22.3901,0.0128274,0.138768
0.040625,-0.265167,0.324682,6910.91,0.067968,134.49,0.0069475,0.13182
0.04375,-0.270239,0.33416,6919.11,0.0632234,8.19971,0.0047446,0.13134
0.046875,-0.27266,0.338357,6875.93,0.0617061,43.1797,0.0015173,0.133101
0.05,-0.268873,0.335795,6790.6,0.0781033,85.3301,0.0163972,0.123441
0.053125,-0.258972,0.324564,6635.32,0.0780422,155.28,6.10948e-05,0.132583
0.05625,-0.260557,0.326618,6569.46,0.0773405,65.8599,0.000701703,0.129446
0.059375,-0.258228,0.322834,6559.29,0.0833215,10.1699,0.005981,0.130288
0.0625,-0.264179,0.331629,6629.42,0.0525098,70.1299,0.0308117,0.139303
0.065625,-0.259076,0.328094,6509.82,0.0877024,119.6,0.0351926,0.138175
0.06875,-0.256233,0.326459,6427.49,0.124546,82.3296,0.0368436,0.136556
0.071875,-0.239123,0.306009,6282.26,0.14065,145.23,0.016104,0.125108
0.075,-0.227334,0.292982,6125.99,0.152886,156.27,0.012236,0.142657
0.078125,-0.212791,0.274637,6003.62,0.164575,122.37,0.011689,0.126083
0.08125,-0.205112,0.264382,5947.48,0.169519,56.1401,0.00494401,0.11298
0.084375,-0.197155,0.253054,5866.41,0.178595,81.0698,0.009076,0.11425
0.0875,-0.18374,0.237554,5806.85,0.144772,59.5601,0.033823,0.142931
0.090625,-0.18628,0.240789,5706.38,0.128664,100.47,0.016108,0.1485
0.09375,-0.18912,0.243105,5731.12,0.0973846,24.7402,0.0312794,0.136915
0.096875,-0.191533,0.246542,5721.35,0.0734867,9.77002,0.0238979,0.134917
0.1,-0.194129,0.248865,5703.38,0.0265077,17.9702,0.046979,0.138102
0.103125,-0.200765,0.256505,5691.21,0.00790799,12.1699,0.0185997,0.135711
0.10625,-0.200242,0.255691,5651.72,-0.0371821,39.4897,0.0450901,0.12699
0.109375,-0.187342,0.238152,5499.55,-0.0565472,152.17,0.0193651,0.151375
0.1125,-0.182173,0.231491,5403.46,-0.0575087,96.0898,0.000961501,0.141782
0.115625,-0.164836,0.211388,5127.84,-0.109488,275.62,0.0519793,0.155712
0.11875,-0.170041,0.215769,5217.01,-0.116341,89.1699,0.006853,0.141726
0.121875,-0.168412,0.213459,5228.92,-0.104345,11.9102,0.011996,0.140345
0.125,-0.183167,0.231323,5327.99,-0.0860182,99.0703,0.0183268,0.142031
0.128125,-0.17948,0.225541,5335.39,-0.0842754,7.3999,0.0017428,0.144318
0.13125,-0.179986,0.226987,5288.96,-0.0905071,46.4302,0.0062317,0.143832
0.134375,-0.170392,0.213231,5226.47,-0.101778,62.4897,0.0112709,0.136965
0.1375,-0.167207,0.209198,5183.66,-0.107,42.8101,0.005222,0.12433
0.140625,-0.163747,0.206861,5081.92,-0.12751,101.74,0.02051,0.127472
0.14375,-0.167944,0.210461,5101.6,-0.140662,19.6802,0.013152,0.132821
0.146875,-0.169661,0.210746,5285.98,-0.165944,184.38,0.025282,0.141254
0.15,-0.176442,0.216005,5467.21,-0.129357,181.23,0.036587,0.142813
0.153125,-0.168311,0.205794,5519.51,-0.112109,52.2998,0.017248,0.129901
0.15625,-0.185274,0.22527,5711.07,-0.0888416,191.56,0.0232674,0.135056
0.159375,-0.180602,0.216972,5847.74,-0.0895993,136.67,0.000757694,0.134835
0.1625,-0.187237,0.220411,6021.78,-0.0881818,174.04,0.0014175,0.133813
0.165625,-0.196506,0.233057,6104.87,-0.0836226,83.0903,0.0045592,0.137954
0.16875,-0.206158,0.245396,6194.1,-0.0779973,89.23,0.0056253,0.141867
0.171875,-0.219521,0.260337,6334.45,-0.065972,140.35,0.0120253,0.153336
0.175,-0.220292,0.261064,6407.87,-0.0638128,73.4199,0.0021592,0.136785
0.178125,-0.2394,0.286098,6553.98,-0.0632176,146.11,0.000595197,0.142647
0.18125,-0.246154,0.291878,6578.71,-0.0313679,24.73,0.0318497,0.136776
0.184375,-0.238432,0.279675,6557.38,-0.0101177,21.3301,0.0212502,0.135838
0.1875,-0.219202,0.25661,6352.39,-0.00453767,204.99,0.00558003,0.154943
0.190625,-0.205287,0.236488,6285.88,-0.00501445,66.5103,0.00047678,0.152192
0.19375,-0.205149,0.238264,6249.57,-0.013704,36.3101,0.00868955,0.155147
0.196875,-0.201704,0.233116,6263.08,-0.0275047,13.5103,0.0138007,0.14587
0.2,-0.207985,0.241375,6314.26,-0.0330473,51.1797,0.0055426,0.149621
0.203125,-0.209612,0.245144,6316.95,-0.044351,2.69043,0.0113037,0.151495
0.20625,-0.205508,0.240863,6243.5,-0.0455543,73.4502,0.0012033,0.152227
0.209375,-0.19897,0.232265,6194.43,-0.0407692,49.0698,0.0047851,0.137954
0.2125,-0.195095,0.230948,6098.4,-0.0440661,96.0303,0.0032969,0.149722
0.215625,-0.185788,0.222742,6038.09,-0.0561296,60.3101,0.0120635,0.14401
0.21875,-0.184179,0.220848,6032.99,-0.0521903,5.09961,0.0039393,0.1438
0.221875,-0.189363,0.230089,6124.76,-0.0833622,91.7695,0.0311719,0.155046
0.225,-0.184558,0.224697,6136.6,-0.0814408,11.8403,0.0019214,0.142077
0.228125,-0.182559,0.223915,6149.63,-0.0887878,13.0298,0.007347,0.146041
0.23125,-0.185129,0.228544,6164.59,-0.0898118,14.96,0.001024,0.152572
0.234375,-0.189113,0.232419,6228.6,-0.0906755,64.0103,0.000863701,0.147679
0.2375,-0.183611,0.225705,6206.05,-0.0903029,22.5503,0.000372604,0.143943
0.240625,-0.193178,0.239595,6204.2,-0.0915352,1.84961,0.0012323,0.155378
0.24375,-0.199569,0.247829,6210.83,-0.0939826,6.62988,0.0024474,0.133605
0.246875,-0.202431,0.250682,6216.67,-0.0925395,5.83984,0.0014431,0.145785
0.25,-0.20393,0.248608,6227.16,-0.0880504,10.4902,0.00448909,0.140782
0.253125,-0.201865,0.242299,6270.82,-0.0520988,43.6597,0.0359516,0.143703
0.25625,-0.20893,0.247456,6301.68,-0.0283169,30.8604,0.0237819,0.153221
0.259375,-0.201705,0.234051,6229.51,-0.00870958,72.1704,0.0196073,0.164448
0.2625,-0.198893,0.227983,6145.22,0.00588588,84.2896,0.0145955,0.152469
0.265625,-0.209302,0.238217,6260.68,-0.0107267,115.46,0.0166126,0.159357
0.26875,-0.209689,0.23911,6257.51,-0.0517778,3.17041,0.0410511,0.142196
0.271875,-0.197137,0.224182,6190.98,-0.0532391,66.5298,0.0014613,0.146843
0.275,-0.177494,0.201681,6045.37,-0.065947,145.61,0.0127079,0.142918
0.278125,-0.160303,0.178631,5918.49,-0.0713607,126.88,0.0054137,0.140539
0.28125,-0.152262,0.170544,5829.62,-0.0941854,88.8701,0.0228247,0.145615
0.284375,-0.15232,0.172388,5796.1,-0.0757538,33.52,0.0184316,0.129667
0.2875,-0.161079,0.185666,5827.05,-0.0740193,30.9497,0.0017345,0.137642
0.290625,-0.165364,0.193156,5807.0,-0.0819197,20.0498,0.0079004,0.126585
0.29375,-0.167659,0.198008,5766.99,-0.11347,40.0098,0.0315503,0.131937
0.296875,-0.172995,0.202949,5698.88,-0.132018,68.1104,0.018548,0.130569
0.3,-0.172434,0.200618,5685.11,-0.142825,13.77,0.010807,0.110982
0.303125,-0.168366,0.195857,5603.9,-0.159777,81.21,0.016952,0.108207
