time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.31919,0.356664,6696.08,-1.05517,0.0,0.0,0.0
0.003125,-0.278859,0.301095,6472.21,-1.00845,223.87,0.04672,0.200471
0.00625,-0.323997,0.364076,6819.67,-0.882612,347.46,0.125838,0.320115
0.009375,-0.377902,0.437431,7047.5,-0.772242,227.83,0.11037,0.302766
0.0125,-0.423318,0.491293,7400.03,-0.787982,352.53,0.01574,0.258199
0.015625,-0.417866,0.479484,7415.91,-0.717964,15.8804,0.070018,0.195285
0.01875,-0.40785,0.467109,7344.96,-0.716839,70.9502,0.00112498,0.137712
0.021875,-0.421858,0.485705,7415.12,-0.719328,70.1602,0.00248897,0.141323
0.025,-0.439374,0.504496,7561.13,-0.69305,146.01,0.026278,0.145918
0.028125,-0.421223,0.478659,7457.09,-0.644,104.04,0.04905,0.116125
0.03125,-0.488829,0.56224,7920.59,-0.524884,463.5,0.119116,0.14358
0.034375,-0.432101,0.49071,7536.79,-0.554981,383.8,0.030097,0.17592
0.0375,-0.436627,0.497165,7569.87,-0.382477,33.0801,0.172504,0.172771
0.040625,-0.464325,0.531395,7713.65,-0.399451,143.78,0.016974,0.15267
0.04375,-0.479776,0.550969,7803.12,-0.33776,89.4702,0.061691,0.225472
0.046875,-0.421787,0.481855,7363.92,-0.272767,439.2,0.064993,0.206608
0.05,-0.427948,0.491566,7392.96,-0.165595,29.04,0.107172,0.244029
0.053125,-0.409943,0.470125,7245.91,-0.27,147.05,0.104405,0.215589
0.05625,-0.384592,0.438408,7075.2,-0.236288,170.71,0.033712,0.246985
0.059375,-0.403796,0.463883,7193.15,-0.176022,117.95,0.060266,0.295456
0.0625,-0.377496,0.427274,7058.21,-0.223212,134.94,0.04719,0.163053
0.065625,-0.387638,0.437965,7189.64,-0.191688,131.43,0.031524,0.237044
0.06875,-0.386589,0.436786,7187.08,-0.118219,2.56006,0.073469,0.159885
0.071875,-0.377979,0.431675,7086.14,-0.11047,100.94,0.00774901,0.252698
0.075,-0.405223,0.466707,7271.74,0.00110625,185.6,0.111576,0.186035
0.078125,-0.365649,0.416747,6998.08,0.102426,273.66,0.10132,0.163066
0.08125,-0.36867,0.426069,6951.89,0.137585,46.1899,0.035159,0.161797
0.084375,-0.393693,0.459119,7113.7,0.149802,161.81,0.012217,0.156613
0.0875,-0.371309,0.427238,7003.05,0.181242,110.65,0.03144,0.153626
0.090625,-0.399678,0.465464,7116.67,0.255502,113.62,0.07426,0.190493
0.09375,-0.388098,0.451203,7047.63,0.351049,69.04,0.095547,0.142944
0.096875,-0.389096,0.449032,7123.11,0.375063,75.48,0.024014,0.152228
0.1,-0.431106,0.50342,7394.41,0.359596,271.3,0.015467,0.156667
0.103125,-0.42493,0.490615,7412.99,0.388122,18.5801,0.028526,0.157758
0.10625,-0.389166,0.444978,7156.19,0.40254,256.8,0.014418,0.133277
0.109375,-0.388561,0.442873,7173.03,0.42891,16.8398,0.02637,0.139273
0.1125,-0.366427,0.413515,7047.11,0.475964,125.92,0.047054,0.146923
0.115625,-0.368402,0.419118,7027.24,0.522729,19.8696,0.046765,0.123953
0.11875,-0.339181,0.382777,6825.04,0.574725,202.2,0.051996,0.136249
0.121875,-0.386368,0.443588,7175.42,0.679985,350.38,0.10526,0.128129
