time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.319104,0.400262,5963.71,-0.266002,0.0,0.0,0.0
0.003125,-0.311418,0.390902,5904.34,-0.211424,59.3701,0.054578,0.210328
0.00625,-0.300416,0.376372,5793.55,-0.260846,110.79,0.049422,0.163559
0.009375,-0.287685,0.359903,5660.85,-0.684875,132.7,0.424029,0.384226
0.0125,-0.258693,0.320644,5380.68,-1.5169,280.17,0.832025,0.683969
0.015625,-0.293043,0.364952,5685.56,-1.3575,304.88,0.1594,0.284401
0.01875,-0.317473,0.397541,5891.86,-1.01418,206.3,0.34332,0.370889
0.021875,-0.303572,0.379593,5813.19,-0.566637,78.6699,0.447543,0.400659
0.025,-0.238326,0.296211,5164.81,-2.47713,648.38,1.91049,1.32747
0.028125,-0.239785,0.297494,5188.19,-2.55262,23.3799,0.07549,0.199175
0.03125,-0.239875,0.296501,5246.91,-2.44358,58.7202,0.10904,0.237973
0.034375,-0.260923,0.324346,5450.9,-2.36981,203.99,0.0737698,0.213772
0.0375,-0.269653,0.335498,5547.68,-2.20142,96.7803,0.16839,0.226507
0.040625,-0.277056,0.345851,5610.02,-2.05367,62.3398,0.14775,0.216721
0.04375,-0.268744,0.334638,5535.68,-1.86124,74.3398,0.19243,0.243072
0.046875,-0.327955,0.411623,6027.59,1.08062,491.91,2.94186,1.14622
0.05,-0.315565,0.394408,5932.87,1.35714,94.7197,0.27652,0.344311
0.053125,-0.316075,0.392014,5973.55,1.46592,40.6797,0.10878,0.287642
0.05625,-0.321093,0.398754,6014.04,1.49217,40.4902,0.02625,0.193398
0.059375,-0.313952,0.38933,5974.72,1.51204,39.3198,0.01987,0.189857
0.0625,-0.311604,0.386863,5948.29,1.46789,26.4302,0.04415,0.172935
0.065625,-0.298605,0.37129,5829.17,1.55888,119.12,0.0909899,0.204059
0.06875,-0.298708,0.371597,5820.44,1.58924,8.72998,0.03036,0.164945
0.071875,-0.292986,0.363756,5755.7,1.6357,64.7397,0.04646,0.1624
0.075,-0.298453,0.371318,5785.49,1.66642,29.79,0.03072,0.181236
0.078125,-0.291905,0.36187,5753.24,1.72641,32.25,0.05999,0.204926
0.08125,-0.290398,0.359887,5759.31,1.75319,6.06982,0.02678,0.153057
0.084375,-0.305801,0.380457,5895.19,1.71035,135.88,0.04284,0.154989
0.0875,-0.261864,0.327627,5478.3,1.49647,416.89,0.21388,0.606864
0.090625,-0.291935,0.365576,5732.79,0.917477,254.49,0.578993,0.769805
0.09375,-0.280268,0.350423,5622.37,0.89617,110.42,0.021307,0.132378
0.096875,-0.264799,0.329953,5462.64,0.0889076,159.73,0.807262,0.512956
0.1,-0.256617,0.319283,5407.76,0.115527,54.8804,0.0266194,0.197099
0.103125,-0.259817,0.323482,5457.79,0.114802,50.0303,0.000724994,0.161916
0.10625,-0.258907,0.321538,5450.18,0.0818762,7.60986,0.0329258,0.139851
0.109375,-0.261772,0.325205,5472.91,0.131723,22.73,0.0498468,0.179227
0.1125,-0.25193,0.31153,5387.65,0.184732,85.2603,0.053009,0.1605
0.115625,-0.274414,0.341288,5574.43,0.181823,186.78,0.002909,0.172058
0.11875,-0.279246,0.348276,5623.01,0.187768,48.5796,0.005945,0.159847
0.121875,-0.283522,0.353888,5671.18,0.191553,48.1704,0.003785,0.16855
0.125,-0.286324,0.357847,5691.28,0.227126,20.0996,0.035573,0.188744
0.128125,-0.298229,0.373433,5775.35,0.276433,84.0703,0.049307,0.183445
0.13125,-0.306028,0.383245,5853.85,0.339142,78.5,0.062709,0.17025
0.134375,-0.30972,0.386545,5898.38,0.384112,44.5298,0.04497,0.180905
0.1375,-0.284918,0.354602,5698.68,0.452795,199.7,0.068683,0.19065
0.140625,-0.274003,0.339847,5626.99,0.509736,71.6899,0.056941,0.197536
0.14375,-0.296696,0.369536,5831.56,0.590158,204.57,0.080422,0.208264
0.146875,-0.339492,0.425441,6187.92,0.726009,356.36,0.135851,0.292666
0.15,-0.310316,0.3887,5929.35,0.878112,258.57,0.152103,0.392025
0.153125,-0.314161,0.39306,5964.69,1.01187,35.3398,0.133758,0.656082
0.15625,-0.289553,0.361245,5737.5,1.18924,227.19,0.17737,0.422853
0.159375,-0.290916,0.362694,5743.09,1.31343,5.58984,0.12419,0.261728
0.1625,-0.301875,0.377103,5827.89,1.41696,84.8003,0.10353,0.198506
0.165625,-0.294222,0.368454,5771.57,1.52692,56.3203,0.10996,0.200264
0.16875,-0.279886,0.349788,5645.22,-1.51651,126.35,3.04343,1.51167
0.171875,-0.28458,0.355651,5686.31,-1.48743,41.0898,0.02908,0.148993
0.175,-0.276126,0.344457,5633.31,-1.45625,53.0,0.03118,0.182153
0.178125,-0.264479,0.32881,5534.28,-1.38691,99.0303,0.06934,0.195222
0.18125,-0.269062,0.334307,5567.65,-1.39541,33.3701,0.00849998,0.170556
0.184375,-0.26954,0.33507,5554.83,-1.36256,12.8198,0.0328499,0.184553
0.1875,-0.268031,0.33404,5534.09,-1.29334,20.7402,0.0692201,0.190287
0.190625,-0.266626,0.332369,5522.02,-1.26247,12.0698,0.03087,0.166605
0.19375,-0.271079,0.338004,5573.7,-1.1993,51.6802,0.06317,0.167013
0.196875,-0.271057,0.337688,5565.52,-1.13982,8.18018,0.0594801,0.164232
0.2,-0.246358,0.305472,5344.68,-1.07367,220.84,0.06615,0.167924
0.203125,-0.235371,0.290487,5261.01,-0.980736,83.6704,0.092934,0.188118
0.20625,-0.233969,0.289041,5246.32,-0.93744,14.6899,0.043296,0.17935
0.209375,-0.253117,0.315862,5388.9,-0.871114,142.58,0.066326,0.172378
0.2125,-0.272142,0.340902,5544.72,-0.759311,155.82,0.111803,0.177646
0.215625,-0.273315,0.342143,5564.71,-0.6609,19.9897,0.098411,0.1832
0.21875,-0.259602,0.324191,5439.4,-0.566681,125.31,0.094219,0.175577
0.221875,-0.256889,0.320309,5420.17,-0.458154,19.23,0.108527,0.18047
0.225,-0.245732,0.305755,5359.14,-0.349439,61.0298,0.108715,0.193326
0.228125,-0.253944,0.317034,5429.95,-0.325335,70.8101,0.024104,0.180019
0.23125,-0.263119,0.328166,5522.24,-0.243705,92.29,0.08163,0.22248
0.234375,-0.261176,0.326918,5485.86,-0.161641,36.3804,0.082064,0.199255
0.2375,-0.259176,0.32451,5464.6,-0.0400515,21.2598,0.121589,0.216585
