time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.159519,0.186089,4598.32,0.464027,0.0,0.0,0.0
0.003125,-0.152044,0.17881,4479.17,0.465136,119.15,0.001109,0.138631
0.00625,-0.142641,0.170373,4209.56,0.450127,269.61,0.015009,0.127784
0.009375,-0.121091,0.143798,3859.2,0.416622,350.36,0.033505,0.143642
0.0125,-0.109554,0.129384,3631.9,0.392254,227.3,0.024368,0.142072
0.015625,-0.114989,0.136716,3657.3,0.391363,25.4001,0.000891,0.147311
0.01875,-0.112028,0.133741,3551.51,0.37296,105.79,0.018403,0.139626
0.021875,-0.101431,0.122113,3327.23,0.313401,224.28,0.059559,0.144319
0.025,-0.087992,0.107146,3015.16,0.254455,312.07,0.058946,0.1537
0.028125,-0.0863086,0.105454,2962.82,0.171272,52.3398,0.083183,0.141112
0.03125,-0.0923284,0.11311,3028.6,0.130529,65.78,0.040743,0.158175
0.034375,-0.0857944,0.104603,2894.19,0.101424,134.41,0.029105,0.155445
0.0375,-0.0862922,0.104211,2922.31,0.0287214,28.1201,0.0727026,0.155875
0.040625,-0.0872991,0.104357,2980.69,-0.0146133,58.3799,0.0433347,0.14591
0.04375,-0.0814607,0.0966159,2881.41,-0.0557586,99.28,0.0411453,0.156079
0.046875,-0.0913119,0.107699,3087.67,-0.0616375,206.26,0.0058789,0.146329
0.05,-0.093515,0.10851,3180.01,-0.118535,92.3401,0.0568975,0.155453
0.053125,-0.100912,0.116042,3347.23,-0.20213,167.22,0.083595,0.155373
0.05625,-0.100508,0.114758,3459.12,-0.219172,111.89,0.017042,0.154791
0.059375,-0.0945137,0.106123,3455.73,-0.276959,3.39014,0.057787,0.149752
0.0625,-0.0866869,0.0938134,3515.92,-0.286692,60.1899,0.00973299,0.165323
0.065625,-0.0959275,0.103027,3750.09,-0.292679,234.17,0.00598702,0.152886
0.06875,-0.115174,0.126916,4033.08,-0.255977,282.99,0.036702,0.144998
0.071875,-0.11638,0.12928,4082.78,-0.23481,49.7,0.021167,0.152437
0.075,-0.121165,0.134725,4188.83,-0.24274,106.05,0.00793001,0.14997
0.078125,-0.130507,0.144396,4381.91,-0.248816,193.08,0.00607599,0.135843
0.08125,-0.137623,0.149977,4548.74,-0.262913,166.83,0.014097,0.14192
0.084375,-0.158443,0.174041,4867.23,-0.280217,318.49,0.017304,0.15456
0.0875,-0.179082,0.196702,5128.13,-0.262085,260.9,0.018132,0.16635
0.090625,-0.195103,0.217733,5259.66,-0.280084,131.53,0.017999,0.164247
0.09375,-0.216407,0.24414,5490.88,-0.26264,231.22,0.017444,0.141169
0.096875,-0.230875,0.263246,5669.79,-0.235528,178.91,0.027112,0.140864
0.1,-0.245398,0.281492,5850.31,-0.219619,180.52,0.015909,0.131391
0.103125,-0.244524,0.280663,5895.73,-0.18103,45.4199,0.038589,0.147087
0.10625,-0.241954,0.277402,5925.62,-0.173025,29.8901,0.00800501,0.128444
0.109375,-0.250564,0.288431,6026.01,-0.162149,100.39,0.010876,0.138947
0.1125,-0.256211,0.296189,6093.79,-0.158482,67.7803,0.003667,0.140735
0.115625,-0.271817,0.316834,6202.09,-0.116315,108.3,0.042167,0.153136
0.11875,-0.291311,0.34155,6317.0,-0.12634,114.91,0.010025,0.148641
0.121875,-0.296897,0.346898,6366.41,-0.12525,49.4102,0.00109001,0.146589
0.125,-0.303589,0.354203,6390.26,-0.126962,23.8496,0.00171201,0.157619
0.128125,-0.307552,0.35723,6431.88,-0.118841,41.6201,0.00812101,0.165683
0.13125,-0.314504,0.364221,6574.52,-0.0822485,142.64,0.0365925,0.148432
0.134375,-0.337348,0.39258,6788.84,-0.0866166,214.32,0.0043681,0.145299
0.1375,-0.329144,0.381896,6770.25,-0.0685297,18.5898,0.0180869,0.135107
0.140625,-0.3168,0.366323,6699.91,-0.0469657,70.3398,0.021564,0.143304
0.14375,-0.312057,0.358735,6640.71,-0.0562989,59.2002,0.0093332,0.140844
0.146875,-0.3166,0.36364,6664.07,-0.0424159,23.3599,0.013883,0.154474
0.15,-0.310381,0.356083,6644.92,-0.0430461,19.1499,0.0006302,0.137979
0.153125,-0.316402,0.364312,6702.53,-0.0543721,57.6099,0.011326,0.152023
0.15625,-0.332108,0.381536,6885.18,-0.0471811,182.65,0.007191,0.139438
0.159375,-0.345511,0.398358,6964.26,-0.0508894,79.0796,0.0037083,0.14846
0.1625,-0.340054,0.390786,6908.18,-0.050255,56.0796,0.000634398,0.150049
0.165625,-0.331061,0.377319,6820.77,-0.0470871,87.4102,0.0031679,0.1461
0.16875,-0.320159,0.362224,6725.9,-0.0500399,94.8701,0.0029528,0.141791
0.171875,-0.326441,0.369261,6807.27,-0.0511308,81.3701,0.0010909,0.139408
0.175,-0.334282,0.377049,6914.28,-0.061691,107.01,0.0105602,0.159015
0.178125,-0.34167,0.384658,6980.54,-0.0703902,66.2603,0.0086992,0.147869
0.18125,-0.336702,0.378066,6954.91,-0.0753954,25.6299,0.0050052,0.152555
0.184375,-0.34814,0.390242,7064.53,-0.0706232,109.62,0.0047722,0.144747
0.1875,-0.356236,0.399409,7154.8,-0.0709196,90.27,0.000296406,0.13369
0.190625,-0.358781,0.402629,7207.4,-0.0654579,52.6001,0.0054617,0.130755
0.19375,-0.360171,0.403813,7250.96,-0.0558145,43.5601,0.0096434,0.130703
0.196875,-0.351348,0.391561,7229.95,-0.0601517,21.0098,0.0043372,0.1302
0.2,-0.35577,0.397245,7219.74,-0.0566229,10.21,0.0035288,0.140573
0.203125,-0.336042,0.373666,7044.48,-0.0449168,175.26,0.0117061,0.142916
0.20625,-0.308616,0.337772,6837.23,-0.0409648,207.25,0.003952,0.143791
0.209375,-0.308019,0.335251,6879.31,-0.025276,42.0801,0.0156888,0.137096
0.2125,-0.280547,0.299527,6765.03,-0.029209,114.28,0.003933,0.128378
0.215625,-0.284967,0.303411,6883.28,-0.0202933,118.25,0.0089157,0.114725
0.21875,-0.273893,0.287134,6932.45,-0.00128841,49.1704,0.0190049,0.126586
0.221875,-0.28195,0.295062,7100.56,0.0162725,168.11,0.0175609,0.127496
0.225,-0.313929,0.337952,7314.49,0.00535279,213.93,0.0109197,0.154916
0.228125,-0.320428,0.346765,7390.01,0.00945523,75.5195,0.00410244,0.13147
0.23125,-0.330982,0.36139,7471.28,0.0301771,81.27,0.0207219,0.124124
0.234375,-0.343898,0.376649,7552.5,0.0453531,81.2202,0.015176,0.136051
0.2375,-0.351198,0.387112,7555.91,0.0591602,3.41016,0.0138071,0.129771
0.240625,-0.350457,0.386583,7523.12,0.0862332,32.79,0.027073,0.125891
0.24375,-0.366762,0.40718,7569.26,0.0985932,46.1396,0.01236,0.124098
0.246875,-0.365718,0.407133,7539.71,0.104507,29.5498,0.0059138,0.119861
0.25,-0.366042,0.410736,7499.2,0.106123,40.5098,0.001616,0.122002
0.253125,-0.372103,0.421378,7496.76,0.0898022,2.44043,0.0163208,0.138309
0.25625,-0.368303,0.416611,7466.08,0.0894279,30.6797,0.000374295,0.12312
0.259375,-0.385157,0.438878,7533.81,0.0912864,67.73,0.0018585,0.145705
0.2625,-0.388078,0.441737,7569.24,0.0902994,35.4302,0.000987001,0.140858
0.265625,-0.392723,0.448809,7574.71,0.0853485,5.46973,0.0049509,0.142286
0.26875,-0.389215,0.444487,7523.39,0.082727,51.3198,0.0026215,0.124931
0.271875,-0.390907,0.447818,7494.19,0.0681803,29.2002,0.0145467,0.135628
0.275,-0.397623,0.458532,7449.71,0.0839657,44.48,0.0157854,0.13868
0.278125,-0.384583,0.44227,7343.52,0.101766,106.19,0.0178003,0.131729
0.28125,-0.369578,0.425811,7205.54,0.105725,137.98,0.003959,0.130854
0.284375,-0.372615,0.429491,7239.02,0.11576,33.48,0.010035,0.134772
0.2875,-0.368701,0.426503,7193.52,0.109592,45.5,0.006168,0.133253
0.290625,-0.372049,0.430998,7208.41,0.107974,14.8901,0.001618,0.144695
0.29375,-0.36574,0.421707,7158.86,0.109119,49.5503,0.001145,0.128611
0.296875,-0.352686,0.40299,7073.53,0.113384,85.3301,0.004265,0.136111
