time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.60071,0.648403,9318.5,-1.35999,0.0,0.0,0.0
0.003125,-0.664037,0.717531,9822.69,-1.43528,504.19,0.07529,0.123985
0.00625,-0.656179,0.714689,9619.93,-1.53666,202.761,0.10138,0.132032
0.009375,-0.67869,0.741425,9881.98,-1.39435,262.051,0.14231,0.188409
0.0125,-0.642233,0.700497,9600.41,-1.4837,281.57,0.08935,0.124562
0.015625,-0.660644,0.7235,9785.94,-1.47421,185.53,0.00949001,0.122265
0.01875,-0.632347,0.70277,9474.05,-1.45514,311.891,0.01907,0.136687
0.021875,-0.625181,0.686967,9367.63,-1.36623,106.42,0.08891,0.202151
0.025,-0.64318,0.713803,9504.26,-1.48728,136.63,0.12105,0.132934
0.028125,-0.610785,0.67526,9156.63,-1.3993,347.63,0.08798,0.217409
0.03125,-0.528319,0.570334,8822.25,-0.0250552,334.38,1.37424,0.918172
0.034375,-0.567107,0.625698,9171.03,0.0280207,348.78,0.0530759,0.128681
0.0375,-0.564273,0.616391,9086.56,0.0567408,84.4707,0.0287201,0.125866
0.040625,-0.559643,0.614127,9070.14,0.107122,16.4199,0.0503812,0.135593
0.04375,-0.576551,0.644755,9149.44,-0.125698,79.3008,0.23282,0.152164
0.046875,-0.59871,0.664977,9275.72,-0.0331121,126.279,0.0925859,0.208851
0.05,-0.588553,0.652697,9164.14,-0.11518,111.58,0.0820679,0.125881
0.053125,-0.600875,0.672181,9226.53,-0.106948,62.3906,0.008232,0.123401
0.05625,-0.560796,0.619398,8902.78,-0.167429,323.75,0.060481,0.119312
0.059375,-0.569989,0.632513,8928.71,-0.174779,25.9297,0.00735,0.128453
0.0625,-0.564002,0.623375,8856.56,-0.147653,72.1504,0.027126,0.16919
0.065625,-0.528659,0.580556,8527.47,-0.201106,329.09,0.053453,0.136043
0.06875,-0.601867,0.661325,9198.33,-0.269003,670.86,0.067897,0.113987
0.071875,-0.585011,0.64107,9110.08,-0.205804,88.25,0.063199,0.151034
0.075,-0.559038,0.61008,8936.71,-0.132746,173.37,0.073058,0.163189
0.078125,-0.576501,0.626761,9128.85,-0.123085,192.14,0.009661,0.124856
0.08125,-0.634249,0.695853,9594.35,-0.13748,465.5,0.014395,0.143357
0.084375,-0.628523,0.681233,9538.05,-0.0795559,56.2998,0.0579241,0.148208
0.0875,-0.677761,0.738117,9900.78,-0.145413,362.73,0.0658571,0.119319
0.090625,-0.665781,0.725352,9812.21,-0.160671,88.5703,0.015258,0.127851
0.09375,-0.631647,0.684566,9454.0,-0.213632,358.21,0.052961,0.121186
0.096875,-0.675672,0.742492,9791.24,-0.0875863,337.24,0.126046,0.181783
0.1,-0.59959,0.659328,9148.35,-0.137899,642.891,0.0503127,0.132302
0.103125,-0.6362,0.710153,9389.76,-0.074671,241.41,0.063228,0.122382
0.10625,-0.588415,0.64872,9006.31,-0.0937808,383.45,0.0191098,0.141997
0.109375,-0.615963,0.671841,9221.38,-0.0533073,215.07,0.0404735,0.128542
0.1125,-0.666491,0.730047,9628.61,-0.0776821,407.23,0.0243748,0.127641
0.115625,-0.633627,0.692716,9379.15,-0.00611387,249.46,0.0715682,0.136492
0.11875,-0.673618,0.748574,9719.61,0.0296699,340.46,0.0357838,0.117508
0.121875,-0.693991,0.767692,9818.24,0.0869032,98.6299,0.0572333,0.121699
0.125,-0.666018,0.739506,9610.28,-0.0410597,207.96,0.127963,0.11548
0.128125,-0.687491,0.76703,9759.53,0.0622024,149.25,0.103262,0.115611
0.13125,-0.68626,0.755236,9772.08,0.078357,12.5498,0.0161546,0.122549
0.134375,-0.706587,0.797711,9861.27,0.113427,89.1895,0.03507,0.121954
0.1375,-0.650882,0.732516,9384.99,-0.0626605,476.279,0.176087,0.13336
0.140625,-0.655117,0.73913,9440.19,0.127958,55.2002,0.190619,0.15718
0.14375,-0.569406,0.638678,8739.31,-0.109312,700.881,0.23727,0.186931
0.146875,-0.567044,0.631934,8758.79,0.168308,19.4805,0.27762,0.247075
0.15,-0.56085,0.630646,8678.15,0.0159263,80.6396,0.152382,0.16217
0.153125,-0.5673,0.643621,8729.7,-0.0797235,51.5498,0.0956498,0.160506
0.15625,-0.581916,0.653977,8879.71,-0.279557,150.01,0.199833,0.177793
0.159375,-0.572972,0.646911,8816.79,-0.197065,62.9199,0.082492,0.12548
0.1625,-0.649098,0.728894,9428.25,-0.333863,611.46,0.136798,0.143088
0.165625,-0.648192,0.720471,9470.05,-0.396018,41.7998,0.062155,0.115469
0.16875,-0.642529,0.717994,9340.82,-0.437226,129.229,0.041208,0.120621
0.171875,-0.646555,0.72235,9422.43,-0.336515,81.6094,0.100711,0.118366
0.175,-0.69672,0.78512,9815.09,-0.3699,392.66,0.033385,0.110511
0.178125,-0.667217,0.747289,9642.35,-0.360523,172.74,0.009377,0.107982
0.18125,-0.694066,0.781234,9895.34,-0.297199,252.99,0.063324,0.104419
0.184375,-0.657306,0.737724,9621.1,-0.298734,274.24,0.001535,0.113435
0.1875,-0.679397,0.765506,9850.92,-0.187245,229.82,0.111489,0.13083
0.190625,-0.631749,0.710811,9477.27,-0.101374,373.65,0.085871,0.155412
0.19375,-0.641474,0.721029,9599.48,-0.0771908,122.211,0.0241832,0.114321
0.196875,-0.625549,0.6971,9471.78,0.018808,127.7,0.0959988,0.160451
0.2,-0.61381,0.693119,9425.3,0.0459166,46.4805,0.0271086,0.106879
0.203125,-0.639745,0.722329,9578.53,0.174483,153.23,0.128566,0.15097
0.20625,-0.61512,0.695733,9403.45,0.276494,175.08,0.102011,0.131772
0.209375,-0.618331,0.698995,9433.21,0.295023,29.7598,0.018529,0.105111
0.2125,-0.681741,0.772499,9916.48,0.283745,483.271,0.011278,0.118419
0.215625,-0.673527,0.768013,9820.61,0.277896,95.8701,0.005849,0.125845
0.21875,-0.673081,0.763184,9853.72,0.304509,33.1094,0.026613,0.169844
0.221875,-0.681711,0.771875,9904.38,0.293536,50.6602,0.010973,0.129422
0.225,-0.685056,0.770027,10056.8,0.362835,152.42,0.069299,0.158863
0.228125,-0.678826,0.762142,10015.9,0.289854,40.8994,0.072981,0.156851
0.23125,-0.68201,0.765005,10031.5,0.238658,15.5996,0.051196,0.109538
0.234375,-0.687299,0.770445,10146.8,0.192551,115.3,0.046107,0.139604
0.2375,-0.668561,0.749856,9929.34,0.0454793,217.46,0.147072,0.149122
0.240625,-0.710575,0.800523,10211.2,-0.0792748,281.86,0.124754,0.141667
0.24375,-0.732607,0.823483,10391.0,-0.138571,179.8,0.0592962,0.103594
0.246875,-0.681652,0.760077,9996.37,-0.108273,394.63,0.030298,0.12503
0.25,-0.70132,0.782983,10135.6,-0.111532,139.229,0.003259,0.0985347
0.253125,-0.736506,0.828174,10298.2,-0.2105,162.601,0.098968,0.133981
0.25625,-0.73532,0.825453,10267.7,-0.363245,30.5,0.152745,0.150167
0.259375,-0.698311,0.78332,9953.07,-0.474069,314.63,0.110824,0.126447
0.2625,-0.755721,0.856907,10325.8,-0.622305,372.729,0.148236,0.139969
0.265625,-0.699034,0.791821,9911.04,-0.68722,414.76,0.064915,0.114286
0.26875,-0.689104,0.778802,9818.09,-0.721264,92.9502,0.034044,0.105876
0.271875,-0.748918,0.845831,10265.3,-0.768406,447.21,0.047142,0.123584
0.275,-0.720154,0.809015,10074.7,-0.692196,190.6,0.07621,0.128599
0.278125,-0.748365,0.843908,10305.7,-0.677974,231.0,0.014222,0.132753
0.28125,-0.740979,0.830355,10270.5,-0.695142,35.2002,0.017168,0.113202
0.284375,-0.731853,0.827198,10154.7,-0.745707,115.8,0.050565,0.10422
0.2875,-0.707665,0.80023,9997.96,-0.618118,156.74,0.127589,0.134951
0.290625,-0.692233,0.772647,9934.25,-0.433825,63.71,0.184293,0.155353
0.29375,-0.702472,0.798436,10140.1,1.41188,205.85,1.84571,1.10615
0.296875,-0.751278,0.854315,10497.4,1.54253,357.301,0.13065,0.269399
0.3,-0.776567,0.880335,10565.8,1.53541,68.3994,0.00711989,0.21931
0.303125,-0.730801,0.829096,10287.1,1.4881,278.7,0.04731,0.120865
0.30625,-0.695578,0.787065,10003.8,1.52085,283.3,0.0327499,0.124356
0.309375,-0.688911,0.77466,10006.4,1.43101,2.60059,0.0898399,0.128564
0.3125,-0.75639,0.848954,10552.3,1.38642,545.899,0.04459,0.114755
0.315625,-0.725024,0.81272,10340.5,1.36364,211.8,0.0227801,0.11758
0.31875,-0.776443,0.865815,10788.7,1.34335,448.2,0.0202899,0.114895
0.321875,-0.734205,0.817346,10469.4,1.27658,319.3,0.0667701,0.101604
0.325,-0.754934,0.843645,10625.0,1.1331,155.6,0.14348,0.11007
0.328125,-0.696347,0.776267,10112.4,1.10781,512.6,0.02529,0.102744
0.33125,-0.714214,0.80448,10282.6,1.09735,170.199,0.01046,0.125831
0.334375,-0.696355,0.782183,10157.5,1.1377,125.1,0.04035,0.140678
0.3375,-0.695031,0.781243,10126.6,1.07013,30.9004,0.06757,0.148014
0.340625,-0.658309,0.73789,9841.72,1.04406,284.88,0.02607,0.112692
0.34375,-0.739891,0.822813,10509.8,1.1028,668.08,0.05874,0.124605
0.346875,-0.685817,0.771478,10013.9,1.03566,495.899,0.06714,0.115765
0.35,-0.68865,0.772677,10145.4,1.14391,131.5,0.10825,0.149237
0.353125,-0.641891,0.720726,9790.38,1.10664,355.021,0.0372701,0.111234
0.35625,-0.658371,0.735463,9908.41,1.11459,118.03,0.00795007,0.112647
0.359375,-0.685986,0.770483,10153.0,1.09143,244.59,0.0231601,0.114256
0.3625,-0.708483,0.789141,10430.2,1.21266,277.2,0.12123,0.149082
0.365625,-0.72386,0.803179,10525.6,1.28963,95.3994,0.0769701,0.138179
0.36875,-0.700818,0.783074,10376.6,1.33824,149.0,0.04861,0.123297
0.371875,-0.727039,0.806903,10636.7,1.4709,260.101,0.13266,0.171743
0.375,-0.672483,0.752488,10131.2,1.46183,505.5,0.00907004,0.105956
0.378125,-0.755376,0.841101,10723.0,1.55503,591.8,0.0932,0.162381
