time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.284516,0.355835,5640.17,1.21635,0.0,0.0,0.0
0.003125,-0.286126,0.357939,5648.13,1.13013,7.95996,0.0862199,0.252731
0.00625,-0.272414,0.341175,5525.28,1.11503,122.85,0.0151,0.218067
0.009375,-0.26184,0.327317,5412.31,0.930748,112.97,0.184282,0.251031
0.0125,-0.276258,0.346397,5573.62,0.769494,161.31,0.161254,0.24822
0.015625,-0.261045,0.326901,5433.35,0.593251,140.27,0.176243,0.204814
0.01875,-0.281589,0.352518,5652.18,0.553008,218.83,0.040243,0.221734
0.021875,-0.281664,0.353422,5675.04,0.362175,22.8599,0.190833,0.228526
0.025,-0.273613,0.344027,5574.19,0.210416,100.85,0.151759,0.249199
0.028125,-0.272934,0.34284,5541.33,-0.0345288,32.8599,0.244945,0.241602
0.03125,-0.287651,0.360608,5705.6,-0.248988,164.27,0.214459,0.249402
0.034375,-0.302736,0.378962,5844.48,-0.497565,138.88,0.248577,0.255416
0.0375,-0.302534,0.378356,5839.97,-0.658469,4.50977,0.160904,0.244301
0.040625,-0.312117,0.390603,5930.5,-0.876745,90.5298,0.218276,0.268489
0.04375,-0.32571,0.407592,6042.09,-1.14799,111.59,0.271245,0.279989
0.046875,-0.331048,0.414567,6096.1,-1.3572,54.0103,0.20921,0.255752
0.05,-0.31789,0.397423,5977.62,-1.64401,118.48,0.28681,0.297215
0.053125,-0.307395,0.384493,5915.98,-1.76726,61.6401,0.12325,0.224941
0.05625,-0.252159,0.314685,5335.54,-1.01247,580.44,0.75479,1.19279
0.059375,-0.256114,0.31993,5398.44,-1.0816,62.8999,0.0691299,0.188316
0.0625,-0.250894,0.312656,5359.91,-1.16882,38.5298,0.0872201,0.182684
0.065625,-0.259996,0.323978,5471.48,-1.25823,111.57,0.0894099,0.19259
0.06875,-0.281139,0.35116,5689.59,-1.45448,218.11,0.19625,0.235605
0.071875,-0.265787,0.332212,5549.35,-1.64302,140.24,0.18854,0.274156
0.075,-0.264308,0.328814,5559.97,-1.68959,10.6201,0.0465699,0.184875
0.078125,-0.266504,0.331835,5590.98,-1.8918,31.0098,0.20221,0.23373
0.08125,-0.264004,0.328179,5559.26,-2.04837,31.7202,0.15657,0.239617
0.084375,-0.275361,0.342296,5678.9,-2.19988,119.64,0.15151,0.219986
0.0875,-0.290034,0.360841,5816.9,-2.30354,138.0,0.10366,0.228035
0.090625,-0.289912,0.360324,5814.94,-2.45215,1.95996,0.14861,0.215288
