time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.328754,0.384233,7060.27,-0.00628954,0.0,0.0,0.0
0.003125,-0.314525,0.368837,6921.69,-0.0082927,138.58,0.00200316,0.181786
0.00625,-0.336378,0.3938,7072.99,0.00623455,151.3,0.0145273,0.191865
0.009375,-0.340124,0.397871,7138.76,0.010417,65.7695,0.00418245,0.17177
0.0125,-0.380088,0.442625,7530.45,0.00609101,391.69,0.00432599,0.169813
0.015625,-0.392297,0.456303,7702.56,0.00515114,172.11,0.00093987,0.16139
0.01875,-0.419938,0.491314,7866.01,0.024271,163.45,0.0191199,0.16966
0.021875,-0.401995,0.473481,7655.01,0.0358148,211.0,0.0115438,0.152473
0.025,-0.408686,0.481551,7671.15,-0.00993148,16.1401,0.0457463,0.161771
0.028125,-0.364146,0.43277,7271.25,-0.0149593,399.9,0.00502782,0.156203
0.03125,-0.327769,0.388809,7082.61,0.022126,188.64,0.0370853,0.170311
0.034375,-0.310738,0.369246,6969.53,0.0516778,113.08,0.0295518,0.168553
0.0375,-0.26428,0.313926,6638.29,0.0629447,331.24,0.0112669,0.176101
0.040625,-0.256934,0.307143,6462.05,0.0371703,176.24,0.0257744,0.168391
0.04375,-0.229259,0.276617,6152.0,0.0310048,310.05,0.0061655,0.177483
0.046875,-0.228125,0.272119,6078.36,0.0378231,73.6401,0.0068183,0.175917
0.05,-0.222844,0.267935,5943.02,0.0469979,135.34,0.0091748,0.173274
0.053125,-0.217098,0.258701,5911.67,0.0339601,31.3501,0.0130378,0.164434
0.05625,-0.230458,0.273905,6044.42,0.0208343,132.75,0.0131258,0.156906
0.059375,-0.262874,0.309815,6349.89,0.0221354,305.47,0.0013011,0.160574
0.0625,-0.269505,0.317673,6445.5,0.0174159,95.6099,0.0047195,0.159645
0.065625,-0.280984,0.329729,6634.06,0.0231623,188.56,0.0057464,0.17143
0.06875,-0.303021,0.35355,6961.9,0.0184804,327.84,0.0046819,0.161213
0.071875,-0.294774,0.346691,6788.17,0.0189298,173.73,0.0004494,0.141261
