time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.265219,0.32266,5721.05,0.0590874,0.0,0.0,0.0
0.003125,-0.278673,0.340577,5783.55,0.0566894,62.5,0.002398,0.162824
0.00625,-0.294971,0.361688,5909.94,0.0677309,126.39,0.0110415,0.153146
0.009375,-0.301188,0.371574,5948.92,0.0620072,38.98,0.0057237,0.15071
0.0125,-0.299137,0.370327,5898.09,0.0586868,50.8301,0.0033204,0.138614
0.015625,-0.289771,0.359155,5809.06,0.0394516,89.0298,0.0192352,0.163445
0.01875,-0.272788,0.338594,5649.77,0.0474948,159.29,0.0080432,0.172073
0.021875,-0.268197,0.33262,5614.73,0.058721,35.04,0.0112262,0.160275
0.025,-0.257833,0.318921,5543.13,0.0807041,71.6001,0.0219831,0.153873
0.028125,-0.228877,0.280827,5317.68,0.112133,225.45,0.0314289,0.156783
0.03125,-0.233797,0.287177,5351.66,0.12919,33.98,0.017057,0.158688
0.034375,-0.244189,0.299993,5433.75,0.122207,82.0898,0.006983,0.180927
0.0375,-0.235737,0.290061,5348.58,0.0855453,85.1699,0.0366617,0.164741
0.040625,-0.224633,0.277503,5150.66,0.0742285,197.92,0.0113168,0.176854
0.04375,-0.212428,0.261739,4985.95,0.076881,164.71,0.0026525,0.160511
0.046875,-0.211384,0.260109,4979.02,0.056988,6.93018,0.019893,0.175731
0.05,-0.219171,0.270552,5060.47,0.0616102,81.4502,0.0046222,0.157397
0.053125,-0.238076,0.294002,5244.89,0.0631556,184.42,0.0015454,0.170707
0.05625,-0.240212,0.297806,5234.93,0.0511932,9.95996,0.0119624,0.163869
0.059375,-0.24215,0.300363,5244.11,0.0245412,9.17969,0.026652,0.162172
0.0625,-0.244637,0.3039,5262.09,0.0195783,17.98,0.0049629,0.175175
0.065625,-0.230653,0.286064,5111.58,-0.000135033,150.51,0.0197133,0.167506
0.06875,-0.214636,0.265397,4955.59,0.00969842,155.99,0.00983345,0.168833
0.071875,-0.21501,0.266042,4971.28,0.00669519,15.6899,0.00300323,0.185843
0.075,-0.215361,0.266673,5002.98,-0.00743315,31.7002,0.0141283,0.158675
0.078125,-0.224441,0.279454,5095.78,-0.00713633,92.7998,0.00029682,0.165595
0.08125,-0.221999,0.276477,5098.8,-0.00191397,3.02002,0.00522236,0.166588
0.084375,-0.225362,0.28048,5150.89,-0.0021058,52.0903,0.00019183,0.165654
0.0875,-0.224412,0.27955,5118.53,-0.0118205,32.3604,0.0097147,0.164379
0.090625,-0.223085,0.278417,5079.6,-0.0222545,38.9297,0.010434,0.150987
0.09375,-0.221313,0.275183,5071.73,-0.0366586,7.87012,0.0144041,0.173545
0.096875,-0.215073,0.266693,5032.19,-0.0135793,39.54,0.0230793,0.173146
0.1,-0.211411,0.261953,4996.22,-0.0105876,35.9697,0.0029917,0.170697
0.103125,-0.206893,0.255419,4966.38,-0.00976896,29.8403,0.00081864,0.168557
0.10625,-0.216879,0.267875,5045.35,-0.00531832,78.9702,0.00445064,0.170071
0.109375,-0.22079,0.273215,5082.42,-0.0183302,37.0698,0.0130119,0.16858
0.1125,-0.231567,0.286298,5187.44,-0.0195629,105.02,0.0012327,0.178965
0.115625,-0.235756,0.290437,5247.51,-0.0274405,60.0698,0.0078776,0.182313
0.11875,-0.234791,0.289484,5238.36,-0.0369555,9.1499,0.009515,0.185783
0.121875,-0.225483,0.2789,5114.47,-0.0430911,123.89,0.0061356,0.173745
0.125,-0.246009,0.305423,5329.86,-0.0362333,215.39,0.0068578,0.183068
0.128125,-0.240228,0.297948,5256.93,-0.0159766,72.9297,0.0202567,0.167425
0.13125,-0.237374,0.294051,5224.2,0.00362964,32.73,0.0196062,0.156231
0.134375,-0.245539,0.30373,5311.95,0.00291213,87.75,0.00071751,0.174923
0.1375,-0.246574,0.304251,5325.21,0.016665,13.2598,0.0137529,0.154861
0.140625,-0.252307,0.311031,5387.24,0.0279249,62.0303,0.0112599,0.172158
0.14375,-0.261862,0.323588,5482.98,0.0198636,95.7397,0.0080613,0.161561
0.146875,-0.255769,0.31623,5413.96,0.0218704,69.02,0.0020068,0.164123
0.15,-0.250933,0.310364,5341.9,0.029609,72.0601,0.0077386,0.172157
0.153125,-0.251053,0.311139,5337.27,0.0350667,4.62988,0.0054577,0.160682
0.15625,-0.24984,0.310008,5300.54,0.0348853,36.73,0.000181403,0.182634
0.159375,-0.240312,0.298568,5191.4,0.0215216,109.14,0.0133637,0.173962
0.1625,-0.254705,0.317253,5321.77,0.00824951,130.37,0.0132721,0.16791
0.165625,-0.249597,0.311266,5270.53,-0.0104314,51.2402,0.0186809,0.167615
0.16875,-0.255786,0.319579,5332.23,-0.0269511,61.7002,0.0165197,0.166361
0.171875,-0.263376,0.330171,5418.75,-0.0470289,86.52,0.0200778,0.152675
0.175,-0.259539,0.325411,5394.57,-0.0501704,24.1802,0.0031415,0.182468
0.178125,-0.261361,0.327896,5417.06,-0.0565951,22.4902,0.0064247,0.180669
0.18125,-0.26145,0.327521,5442.61,-0.0774921,25.5498,0.020897,0.16526
0.184375,-0.259791,0.325514,5426.0,-0.0918613,16.6099,0.0143692,0.167807
0.1875,-0.256361,0.320852,5400.36,-0.0885329,25.6401,0.0033284,0.166429
0.190625,-0.262135,0.328419,5432.07,-0.0946432,31.71,0.0061103,0.155183
0.19375,-0.26905,0.337141,5490.62,-0.12373,58.5503,0.0290868,0.185556
0.196875,-0.255431,0.318711,5380.97,-0.116507,109.65,0.007223,0.1822
0.2,-0.245396,0.305749,5294.42,-0.0770264,86.5503,0.0394806,0.158505
0.203125,-0.247504,0.308509,5311.05,-0.0520167,16.6299,0.0250097,0.168317
0.20625,-0.258003,0.320806,5424.67,-0.0322732,113.62,0.0197435,0.169785
0.209375,-0.266548,0.330178,5552.11,-0.0448323,127.44,0.0125591,0.159883
0.2125,-0.268126,0.332666,5577.75,-0.0349913,25.6401,0.009841,0.15065
0.215625,-0.275791,0.342772,5633.83,0.00272793,56.0801,0.0377192,0.179398
0.21875,-0.284235,0.353177,5688.05,0.00942432,54.2197,0.00669639,0.180425
0.221875,-0.281365,0.349333,5655.75,0.0128284,32.2998,0.00340408,0.15956
0.225,-0.26766,0.331831,5530.16,0.0268202,125.59,0.0139918,0.164534
0.228125,-0.256701,0.317528,5411.79,0.0506632,118.37,0.023843,0.1474
0.23125,-0.256496,0.317974,5396.27,0.0409553,15.52,0.0097079,0.166961
0.234375,-0.259217,0.324018,5372.87,0.00531725,23.3999,0.0356381,0.1798
0.2375,-0.256933,0.322838,5322.43,0.000144444,50.4399,0.00517281,0.171875
0.240625,-0.261649,0.329386,5360.86,-0.0166706,38.4297,0.016815,0.153778
0.24375,-0.259225,0.326368,5305.26,-0.0216902,55.6001,0.0050196,0.164106
0.246875,-0.251387,0.316632,5239.26,-0.0249641,66.0,0.0032739,0.165681
0.25,-0.25107,0.316407,5251.55,-0.0545773,12.29,0.0296132,0.166325
0.253125,-0.246026,0.310678,5223.42,-0.0712894,28.1299,0.0167121,0.157012
0.25625,-0.246375,0.31117,5243.23,-0.10428,19.8101,0.0329906,0.162326
0.259375,-0.24635,0.310815,5256.82,-0.12205,13.5898,0.01777,0.190687
0.2625,-0.261552,0.329028,5449.02,-0.120815,192.2,0.001235,0.163771
0.265625,-0.265345,0.332809,5517.84,-0.0955969,68.8198,0.0252181,0.164329
0.26875,-0.2737,0.342142,5584.94,-0.0681841,67.1001,0.0274128,0.167935
0.271875,-0.27836,0.347105,5629.87,-0.033393,44.9302,0.0347911,0.160822
0.275,-0.281552,0.351212,5628.24,-0.0141948,1.62988,0.0191982,0.14935
0.278125,-0.281119,0.3506,5621.52,0.00613842,6.72021,0.0203332,0.167465
0.28125,-0.283892,0.355462,5628.85,-0.0085567,7.33008,0.0146951,0.179892
0.284375,-0.294884,0.369249,5723.3,-0.00121329,94.4497,0.00734341,0.183964
0.2875,-0.293991,0.368836,5707.86,0.00246671,15.4399,0.00368,0.173184
0.290625,-0.282363,0.353782,5588.94,0.0208053,118.92,0.0183386,0.175892
0.29375,-0.271667,0.340326,5491.75,0.025361,97.1899,0.0045557,0.180543
0.296875,-0.263531,0.329911,5404.13,0.0301021,87.6201,0.0047411,0.169955
0.3,-0.265031,0.331357,5406.74,0.0152582,2.61035,0.0148439,0.164952
