time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.125439,0.141633,5078.76,-0.109793,0.0,0.0,0.0
0.003125,-0.111911,0.123524,5020.06,0.119223,58.6997,0.229016,0.196463
0.00625,-0.0835137,0.0851666,4811.87,0.319057,208.19,0.199834,0.170033
0.009375,-0.0699701,0.0678121,4691.17,0.537111,120.7,0.218054,0.164847
0.0125,-0.0709604,0.0680631,4722.24,0.727333,31.0703,0.190222,0.161538
0.015625,-0.0747174,0.0723423,4755.84,0.912884,33.5996,0.185551,0.206498
0.01875,-0.0813011,0.0812464,4818.33,1.1169,62.4902,0.204016,0.174377
0.021875,-0.0850756,0.0873164,4780.92,1.35793,37.4102,0.24103,0.180705
0.025,-0.101868,0.108597,4861.91,1.57422,80.9902,0.21629,0.169713
0.028125,-0.0950261,0.1005,4718.48,1.71362,143.43,0.1394,0.158566
0.03125,-0.0968443,0.105173,4572.39,2.01893,146.09,0.30531,0.227637
0.034375,-0.103884,0.111248,4741.2,2.23814,168.81,0.21921,0.19445
0.0375,-0.101285,0.105808,4724.78,2.42036,16.4204,0.18222,0.146602
0.040625,-0.116747,0.127867,4838.88,2.59757,114.1,0.17721,0.147416
0.04375,-0.123564,0.136704,4912.03,2.77328,73.1499,0.17571,0.176932
0.046875,-0.12129,0.132174,4938.02,2.82327,25.9902,0.0499902,0.166346
0.05,-0.103719,0.112254,4746.5,2.91081,191.52,0.0875399,0.224586
0.053125,-0.0685764,0.0604704,4550.67,-0.154985,195.83,3.06579,1.69324
0.05625,-0.11955,0.134008,4947.29,-2.84419,396.62,2.6892,1.01851
0.059375,-0.136327,0.158512,4981.65,-2.75502,34.3599,0.08917,0.159972
0.0625,-0.114175,0.129004,4823.04,-2.62823,158.61,0.12679,0.156853
0.065625,-0.0921092,0.0996876,4667.9,-2.45281,155.14,0.17542,0.167522
0.06875,-0.0832783,0.0864237,4689.47,-2.25287,21.5703,0.19994,0.184963
0.071875,-0.0702425,0.0671829,4675.2,-2.03406,14.27,0.21881,0.153707
0.075,-0.0683929,0.0646126,4685.59,-1.82391,10.3896,0.21015,0.155681
0.078125,-0.0539242,0.0460307,4548.6,-1.67399,136.99,0.14992,0.162235
0.08125,-0.0366044,0.0219635,4380.77,-1.42652,167.83,0.24747,0.172277
0.084375,-0.0597677,0.0547072,4551.9,-1.19827,171.13,0.22825,0.171581
0.0875,-0.0961656,0.101306,4860.55,-0.928155,308.65,0.270115,0.196383
0.090625,-0.11871,0.135421,5022.55,-0.722726,162.0,0.205429,0.187066
0.09375,-0.135154,0.157321,5192.32,-0.547886,169.77,0.17484,0.179631
0.096875,-0.125388,0.144186,5141.83,-0.346928,50.4897,0.200958,0.198832
0.1,-0.125315,0.144509,5071.8,-0.247846,70.0303,0.099082,0.260258
0.103125,-0.147287,0.175713,5287.06,-0.241649,215.26,0.00619701,1.20674
0.10625,-0.150639,0.178289,5303.03,-0.0863184,15.9697,0.155331,0.179647
0.109375,-0.162744,0.19419,5377.26,0.0994963,74.23,0.185815,0.168008
0.1125,-0.160295,0.191114,5272.12,0.302572,105.14,0.203076,0.18143
0.115625,-0.178776,0.214112,5611.73,0.531853,339.61,0.229281,0.205848
0.11875,-0.15299,0.180655,5428.59,0.877446,183.14,0.345593,0.480021
0.121875,-0.098382,0.119459,4013.43,0.776076,1415.16,0.10137,0.810558
0.125,-0.106999,0.12707,4401.95,0.580515,388.52,0.195561,0.589527
0.128125,-0.0996465,0.115964,4376.88,0.799992,25.0703,0.219477,0.22662
0.13125,-0.0822074,0.0903115,4267.1,0.996826,109.78,0.196834,0.182063
0.134375,-0.0614874,0.0619886,4091.42,1.24869,175.68,0.251864,0.17201
0.1375,-0.0600439,0.0583561,4166.33,1.46913,74.9102,0.22044,0.165807
0.140625,-0.0633564,0.0618287,4307.78,1.68787,141.45,0.21874,0.165188
0.14375,-0.073964,0.0759062,4457.56,1.87961,149.78,0.19174,0.155458
0.146875,-0.0893596,0.0949209,4652.34,2.07327,194.78,0.19366,0.167077
0.15,-0.112258,0.125867,4860.27,2.2322,207.93,0.15893,0.154885
0.153125,-0.126646,0.147278,4909.8,2.31907,49.5298,0.0868702,0.14455
0.15625,-0.151749,0.179848,5070.94,2.44382,161.14,0.12475,0.149938
